"Date","Long-CANADIAN DOLLAR","Short-CANADIAN DOLLAR","Net-CANADIAN DOLLAR","Names","Unit"
2014-05-20,26500,53034,-26534,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-05-27,32581,54391,-21810,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-06-03,32519,55250,-22731,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-06-10,30303,54411,-24108,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-06-17,34582,56115,-21533,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-06-24,40595,45915,-5320,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-07-01,44755,42060,2695,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-07-08,58245,47950,10295,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-07-15,60353,44732,15621,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-07-22,62078,41497,20581,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-07-29,56459,33768,22691,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-08-05,48944,27489,21455,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-08-12,44053,26055,17998,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-08-19,41844,34563,7281,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-08-26,38522,32859,5663,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-09-02,35333,26142,9191,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-09-09,33400,21770,11630,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-09-16,37347,29803,7544,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-09-23,27673,24609,3064,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-09-30,33014,37580,-4566,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-10-07,39174,46626,-7452,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-10-14,35688,51855,-16167,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-10-21,28837,50371,-21534,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-10-28,26093,47498,-21405,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-11-04,29627,49042,-19415,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-11-11,32668,54514,-21846,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-11-18,32082,51599,-19517,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-11-25,32106,48447,-16341,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-12-02,28533,46922,-18389,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-12-09,33406,47768,-14362,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-12-16,32397,48091,-15694,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-12-23,33904,46091,-12187,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-12-30,32726,46759,-14033,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2015-01-06,31275,48362,-17087,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-01-13,27599,48778,-21179,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-01-20,24238,53318,-29080,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-01-27,28914,52877,-23963,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-02-03,24553,51874,-27321,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-02-10,21176,54509,-33333,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-02-17,19998,52840,-32842,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-02-24,22423,58668,-36245,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-03-03,24332,63195,-38863,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-03-10,22011,61041,-39030,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-03-17,21001,53823,-32822,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-03-24,19193,51849,-32656,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-03-31,18771,48389,-29618,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-04-07,22081,52100,-30019,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-04-14,23020,53598,-30578,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-04-21,33343,60394,-27051,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-04-28,33858,54767,-20909,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-05-05,30028,40108,-10080,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-05-12,29133,33115,-3982,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-05-19,25184,20836,4348,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-05-26,30695,23362,7333,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-06-02,30095,31120,-1025,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-06-09,21004,34749,-13745,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-06-16,22484,34765,-12281,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-06-23,18270,35849,-17579,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-06-30,23105,46555,-23450,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-07-07,35928,68196,-32268,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-07-14,38177,78903,-40726,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-07-21,41443,85011,-43568,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-07-28,35195,91262,-56067,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-08-04,33993,98173,-64180,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-08-11,28546,95951,-67405,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-08-18,21407,88201,-66794,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-08-25,29555,89267,-59712,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-09-01,28964,84083,-55119,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-09-08,29506,78146,-48640,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-09-15,28509,75592,-47083,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-09-22,40901,79295,-38394,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-09-29,36211,78446,-42235,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-10-06,29276,64286,-35010,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-10-13,28207,62156,-33949,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-10-20,31368,58480,-27112,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-10-27,34134,53029,-18895,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-11-03,32017,51508,-19491,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-11-10,45787,63694,-17907,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-11-17,45589,73941,-28352,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-11-24,41304,79921,-38617,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-12-01,38349,77329,-38980,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-12-08,48776,88914,-40138,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-12-15,44262,95271,-51009,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-12-22,43455,99482,-56027,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2015-12-29,47598,108385,-60787,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-01-05,40898,101028,-60130,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-01-12,38837,98051,-59214,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-01-19,33064,99450,-66386,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-01-26,32767,99586,-66819,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-02-02,30069,82489,-52420,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-02-09,27279,79214,-51935,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-02-16,29077,74162,-45085,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-02-23,31487,68427,-36940,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-03-01,31018,61496,-30478,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-03-08,30550,56331,-25781,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-03-15,31584,48410,-16826,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-03-22,21807,36816,-15009,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-03-29,28146,34326,-6180,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-04-05,29565,29468,97,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-04-12,28968,26583,2385,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-04-19,32473,25165,7308,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-04-26,37104,25105,11999,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-05-03,39840,20897,18943,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-05-10,42040,16166,25874,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-05-17,37009,14303,22706,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-05-24,32834,12787,20047,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-05-31,38753,12494,26259,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-06-07,37421,15884,21537,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-06-14,42394,23954,18440,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-06-21,40664,38069,2595,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-06-28,38675,30726,7949,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-07-05,41031,29514,11517,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-07-12,39963,22788,17175,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-07-19,43086,21018,22068,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-07-26,44023,20843,23180,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-08-02,41711,23953,17758,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-08-09,43647,28281,15366,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-08-16,46118,33645,12473,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-08-23,50097,33363,16734,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-08-30,46808,24408,22400,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-09-06,44136,23231,20905,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-09-13,45790,28732,17058,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-09-20,57216,40913,16303,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-09-27,34579,46194,-11615,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-10-04,32585,46662,-14077,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-10-11,30809,42513,-11704,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-10-18,23679,37977,-14298,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-10-25,33274,46598,-13324,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-11-01,35723,51683,-15960,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-11-08,32850,54162,-21312,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-11-15,34293,52892,-18599,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-11-22,28260,45722,-17462,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-11-29,25010,43586,-18576,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-12-06,21538,39696,-18158,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-12-13,24035,45904,-21869,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-12-20,22246,34000,-11754,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2016-12-27,36597,38195,-1598,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2017-01-03,39546,43417,-3871,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2017-01-10,28405,36340,-7935,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2017-01-17,32064,37520,-5456,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2017-01-24,36175,33656,2519,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2017-01-31,44939,41467,3472,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2017-02-07,46127,37577,8550,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2017-02-14,53152,33812,19340,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2017-02-21,58780,34196,24584,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2017-02-28,63125,33035,30090,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2017-03-07,65616,36396,29220,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2017-03-14,74620,53162,21458,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2017-03-21,30293,54696,-24403,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2017-03-28,30419,58636,-28217,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2017-04-04,38535,68760,-30225,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2017-04-11,31432,63766,-32334,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2017-04-18,37306,70558,-33252,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2017-04-25,52545,95187,-42642,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2017-05-02,66565,114269,-47704,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2017-05-09,47412,133627,-86215,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2017-05-16,39130,137130,-98000,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2017-05-23,29681,128790,-99109,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2017-05-30,23711,121898,-98187,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2017-06-06,26492,120993,-94501,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
2017-06-13,26781,115376,-88595,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
