データコード,PF02'PFGD1,PF02'PFGD11,PF02'PFGD12,PF02'PFGD@01,PF02'PFGD18,PF02'PFGD19,PF02'PFGD210,PF02'PFGD211,PF02'PFGD@02,PF02'PFGD@03,PF02'PFGD220,PF02'PFGD221,PF02'PFGD@04,PF02'PFGD230,PF02'PFGD231,PF02'PFGD@05
1989/06,2096487,1595026,0,232580,208448,60433,889991,575947,45577,268467,228134,58178,169957,978362,960901,17047
1989/07,2103196,1611793,0,222850,211619,56934,906310,585124,53048,268138,228298,67384,160915,968588,959286,8888
1989/08,2083230,1600212,0,211640,214638,56740,887846,584323,32560,270964,226084,68912,157173,969300,946978,21908
1989/09,2098230,1603677,0,220330,217303,56920,931912,626460,31643,273809,191438,24863,166575,974881,952354,22113
1989/10,2111722,1616562,0,236760,219243,39158,939993,640942,41065,257986,201788,13254,188535,969941,962366,7161
1989/11,2120954,1604891,0,242380,222437,51247,915225,619047,22909,273269,207333,40031,167303,998396,945813,52169
1989/12,2110217,1602040,0,228320,227945,51912,916925,620909,16573,279443,253939,44513,209427,939353,936618,2321
1990/01,2104459,1613712,0,210230,230801,49716,936861,628153,28604,280104,205924,37470,168455,961675,948089,13172
1990/02,2082431,1604460,0,195890,232373,49708,899758,604572,13519,281667,218098,63539,154559,964576,936349,27812
1990/03,2172084,1630980,0,251060,283193,6850,944314,618093,36592,289629,268930,66930,202000,958840,945957,12469
1990/04,2210094,1648421,0,271271,237005,53398,930330,590509,49833,289988,291934,104264,187670,987829,953648,33767
1990/05,2178612,1625537,0,258410,241605,53060,902803,584477,24076,294250,267032,107392,159640,1008776,933668,74694
1990/06,2168284,1635409,0,244800,244705,43370,915118,605384,22073,287661,262557,92773,169785,990609,937253,52942
1990/07,2173376,1645508,0,236270,249605,41994,931821,621021,19615,291184,272344,84457,187887,969211,940029,28768
1990/08,2159636,1637034,0,226500,254007,42095,921862,611464,14710,295688,290316,95201,195115,947458,930369,16675
1990/09,2183576,1649754,0,237720,254007,42095,946494,634320,16487,295688,288248,73557,214692,948833,941878,6541
1990/10,2198296,1658850,0,253530,260007,25909,928459,629177,13780,285502,299879,79861,220018,969959,949812,19732
1990/11,2204491,1652097,0,256370,263320,32703,922021,611332,15079,295609,286626,100017,186609,995843,940748,54682
1990/12,2216991,1662860,0,255050,268839,30241,922398,607128,16603,298667,328735,101729,227006,965858,954003,11441
1991/01,2199527,1670978,0,229510,269110,29928,940011,629539,11848,298624,259316,81489,177827,1000199,959950,39835
1991/02,2179921,1644517,0,237180,269416,28808,897798,592096,7891,297810,271509,105422,166088,1010615,946999,63202
1991/03,2237926,1685472,0,230430,317708,4315,986797,640368,24819,321609,269253,88294,180959,981875,956810,24651
1991/04,2274021,1690251,0,260790,286106,36874,982839,649155,11119,322565,293101,86353,206748,998080,954743,42923
1991/05,2253498,1688343,0,240070,289335,35750,971833,639132,8030,324671,270561,101756,168805,1011105,947456,63235
1991/06,2250775,1701473,0,229370,290656,29276,988285,660184,8584,319518,269254,81984,187270,993236,959306,33516
1991/07,2238825,1710676,0,205010,294576,28562,1018333,685597,10011,322724,239418,58831,180588,981074,966249,14411
1991/08,2215349,1683842,0,204870,298074,28562,1001689,662152,13315,326222,224506,54498,170009,989153,967193,21546
1991/09,2222446,1706998,0,215160,300288,0,1019011,672197,46940,299874,229916,63278,166638,973519,971522,1583
1991/10,2265689,1717874,0,225450,302620,19745,1051542,689153,40438,321951,207632,49280,158352,1006515,979441,26660
1991/11,2271146,1709670,0,234110,305897,21469,1059494,696040,36502,326952,213090,62232,150859,998562,951398,46750
1991/12,2263455,1722106,0,209870,311010,20469,1065368,706857,27446,331065,245643,64798,180845,952444,950451,1578
1992/01,2261910,1734929,0,187480,319450,20051,1090290,710512,40691,339087,174640,71288,103352,996981,953129,43438
1992/02,2267463,1726439,0,198460,323411,19153,1089684,707916,39618,342150,189311,73963,115348,988469,944561,43494
1992/03,2312954,1736572,0,221440,351319,3624,1131143,705529,71086,354528,222592,84674,137919,959219,946369,12436
1992/04,2355800,1747042,0,253040,325286,30432,1120551,715393,49855,355303,219734,72988,146746,1015515,958662,56440
1992/05,2327394,1760368,0,210310,327427,29289,1136130,723527,56301,356302,149466,71950,77516,1041798,964891,76493
1992/06,2352265,1765534,0,230220,331547,24964,1141205,721839,63269,356096,188658,73347,115312,1022402,970349,51639
1992/07,2326142,1751288,0,212670,336821,25362,1125911,719938,44205,361769,203259,70302,132957,996972,961049,35508
1992/08,2324096,1763701,0,190080,344371,25944,1133840,718766,45174,369901,175358,77048,98310,1014898,967888,46596
1992/09,2353508,1778900,0,202630,346696,25282,1164729,714604,78561,371564,192680,86680,106000,996099,977617,18069
1992/10,2371522,1788437,0,210290,348203,24593,1138916,715287,51248,372381,194240,81846,112394,1038366,991304,46648
1992/11,2395775,1801552,0,207610,353632,32981,1162518,717717,58602,386199,171282,88927,82354,1061975,994908,66653
1992/12,2410572,1790127,0,224080,371388,24976,1166183,716946,53287,395950,235161,84253,150908,1009227,988928,19885
1993/01,2373052,1778932,0,189560,378598,25963,1168692,709270,55276,404146,178878,76928,101950,1025482,992734,32334
1993/02,2398019,1793132,0,198110,381583,25194,1192344,709539,76442,406363,175530,83034,92496,1030145,1000559,29172
1993/03,2467239,1809050,0,227700,428528,1961,1210041,705045,74921,430075,215813,95081,120732,1041385,1008924,32047
1993/04,2550161,1828446,0,288750,388178,44787,1227331,719156,75625,432551,268953,96222,172731,1053877,1013068,40395
1993/05,2540303,1844645,0,262360,390152,43146,1221448,699859,88705,432884,229386,123306,106081,1089469,1021480,67575
1993/06,2552853,1830895,0,287580,394914,39464,1189892,698101,57828,433963,290141,106991,183150,1072819,1025803,46602
1993/07,2503936,1813961,0,250900,399163,39912,1157895,704544,14691,438661,285294,91035,194260,1060746,1018382,41949
1993/08,2505220,1823511,0,238870,402692,40147,1151248,693046,15778,442425,269989,103963,166026,1083982,1026502,57066
1993/09,2520738,1833317,0,244000,403792,39630,1166884,704058,19818,443008,271344,84065,187279,1082510,1045193,36903
1993/10,2541097,1855424,0,237750,409112,38811,1181023,717118,16397,447509,260808,99896,160912,1099266,1038410,60442
1993/11,2557927,1882245,0,215780,418980,40922,1192391,713253,19650,459487,254451,113148,141303,1111086,1055844,54827
1993/12,2583834,1873202,0,237720,430112,42800,1190910,704301,14111,472498,311486,117947,193540,1081438,1050954,30069
1994/01,2555414,1893893,0,184110,433096,44315,1210730,721496,12238,476997,259224,114731,144493,1085459,1057666,27379
1994/02,2574647,1919662,0,178680,440212,36093,1226914,734695,16328,475891,253028,116409,136619,1094705,1068558,25733
1994/03,2679932,1951354,0,222210,505223,1144,1239649,718656,15040,505953,304512,133268,171244,1135771,1099430,35927
1994/04,2733124,1968240,0,262150,439678,63056,1282944,744726,35898,502320,300645,121711,178934,1149535,1101803,47318
1994/05,2723742,1984615,0,232790,444649,61688,1278103,720015,52166,505922,260427,143667,116759,1185212,1120933,63865
1994/06,2727706,1966429,0,253470,449149,58659,1254845,724454,22998,507393,315990,123810,192181,1156871,1118166,38291
1994/07,2754929,1955518,0,283500,457549,58362,1279910,739762,24652,515496,322445,98542,223903,1152574,1117214,34946
1994/08,2749394,1970213,0,259360,461449,58372,1267553,713298,34848,519407,316572,127899,188674,1165269,1129017,35838
1994/09,2760933,1989793,0,253080,461632,56428,1283720,730383,35691,517646,301489,105552,195937,1175724,1153858,21452
1994/10,2793595,2013477,0,256720,466757,56641,1306218,740357,42877,522984,308164,118781,189383,1179213,1154338,24460
1994/11,2820363,2045930,0,220130,468367,85936,1332960,727974,51097,553889,273435,145894,127541,1213968,1172062,41492
1994/12,2855305,2042041,0,248450,486059,78755,1339204,729110,45694,564400,329842,143841,186001,1186260,1169090,16756
1995/01,2829277,2035041,0,221950,491823,80464,1340255,737117,31266,571872,301834,136437,165397,1187188,1161487,25287
1995/02,2863842,2068022,0,221430,494354,80037,1346683,715057,57649,573977,313126,167564,145561,1204034,1185400,18220
1995/03,2921728,2093643,0,233400,593685,999,1356091,709921,51900,594270,322679,165702,156977,1242959,1218021,24524
1995/04,3043196,2125488,0,320520,500467,96721,1401635,715273,89588,596774,380755,180198,200557,1260806,1230017,30375
1995/05,3012647,2143573,0,272280,501000,95793,1377908,706424,75105,596379,351833,197850,153983,1282905,1239299,43192
1995/06,3008407,2122541,0,286510,507709,91647,1358691,729491,30258,598942,366705,147343,219362,1283011,1245708,36890
1995/07,2983546,2106277,0,273170,510684,93414,1362764,722605,36475,603684,358069,146628,211442,1262713,1237045,25253
1995/08,2985071,2131295,0,246540,513691,93545,1355460,712813,35827,606821,342095,181205,160890,1287515,1237278,49823
1995/09,3058257,2162140,0,287870,516122,92125,1427219,740466,78920,607833,327813,158381,169432,1303225,1263293,39518
1995/10,3068496,2181068,0,275690,519325,92413,1442261,755473,75464,611323,314854,178342,136511,1311381,1247253,63715
1995/11,3107277,2202061,0,254390,522980,127846,1486118,754429,81277,650412,324917,203835,121082,1296242,1243797,52030
1995/12,3127390,2214624,0,252900,534009,125858,1493955,765721,68782,659452,368181,205388,162793,1265254,1243515,21325
1996/01,3111137,2222264,0,239130,543088,106656,1517416,774336,93752,649329,317022,203351,113671,1276699,1244577,31707
1996/02,3148513,2251341,0,239940,544209,113023,1538208,797892,83498,656818,306487,209771,96716,1303818,1243678,59726
1996/03,3263526,2279753,0,293620,690154,0,1585213,807383,88090,689739,361286,179783,181503,1317028,1292587,24027
1996/04,3326813,2301125,0,335660,552973,137055,1603835,824680,89541,689614,381752,177901,203851,1341226,1298544,42268
1996/05,3329406,2328040,0,309580,556695,135091,1583973,802450,90152,691371,384299,212145,172154,1361134,1313446,47274
1996/06,3341309,2327015,0,319850,562732,131712,1600342,824502,81810,694030,412624,216167,196457,1328344,1286346,41584
1996/07,3320204,2311287,0,307170,567862,133885,1603276,840110,61834,701333,395124,189589,205536,1321803,1281589,39800
1996/08,3320309,2337121,0,277630,571562,133996,1604135,836393,62599,705144,396689,218325,178364,1319485,1282404,36667
1996/09,3356210,2362609,0,288330,572683,132587,1630201,843540,81806,704856,384020,212022,171997,1341989,1307047,34527
1996/10,3396114,2399301,0,288670,575404,132739,1657099,862976,86395,707728,403897,238347,165550,1335118,1297979,36725
1996/11,3412395,2426229,0,233880,580218,172068,1670046,856899,61275,751872,388934,278298,110636,1353415,1291032,61969
1996/12,3436817,2420385,0,265380,581049,170004,1674572,874804,49130,750638,452746,263069,189677,1309499,1282513,26573
1997/01,3427939,2435387,0,236570,587549,168434,1710170,891255,63347,755568,413189,262871,150318,1304580,1281260,22905
1997/02,3461063,2453505,0,252030,591542,163986,1726429,899141,72174,755114,412018,266813,145205,1322616,1287551,34651
1997/03,3551685,2474623,0,306390,770672,0,1721925,875838,75829,770258,450489,262387,188102,1379271,1336398,42459
1997/04,3660548,2502652,0,387960,599757,170180,1783688,907203,106962,769523,491981,260468,231513,1384880,1334980,49485
1997/05,3634005,2527126,0,333120,604975,168784,1764968,897652,93972,773345,463558,281076,182481,1405479,1348398,56667
1997/06,3625450,2500871,0,349280,610408,164891,1748507,925976,47646,774885,505965,250778,255187,1370978,1324116,46447
1997/07,3620789,2520346,0,317580,614508,168355,1801573,956614,62511,782449,461771,234911,226861,1357444,1328821,28209
1997/08,3605030,2536922,0,280340,618608,169159,1797902,961768,48780,787353,460344,250916,209428,1346784,1324238,22132
1997/09,3626766,2518443,0,316670,621736,169917,1800063,937823,71001,791238,443652,231021,212631,1383051,1349599,33038
1997/10,3649811,2549034,0,314230,618430,168117,1807479,957705,63641,786133,464876,259581,205294,1377456,1331748,45294
1997/11,3674226,2572120,0,289590,623194,189322,1835331,975952,47277,812102,449271,261564,187707,1389625,1334604,54607
1997/12,3685974,2571553,0,296180,628477,189764,1878800,986991,73983,817827,480827,288414,192413,1326347,1296148,29785
1998/01,3697609,2609368,0,269370,632477,186395,1942211,1014844,108910,818457,433599,289128,144471,1321799,1305396,15989
1998/02,3830528,2730437,0,277310,636679,186102,1952112,1036736,93009,822367,488677,314900,173777,1389739,1378801,10524
1998/03,3947370,2739070,0,372660,835641,0,1965931,1043198,87507,835227,573967,297721,276246,1407472,1398150,8907
1998/04,3996481,2759361,0,404480,646122,186518,1995905,1058852,104827,832226,573417,280321,293096,1427160,1420188,6558
1998/05,3992604,2782663,0,373050,650711,186179,1981506,1057713,87317,836476,562245,283180,279065,1448853,1441770,6668
1998/06,4001730,2778759,0,381760,655904,185307,1978235,1070326,67113,840796,565454,259242,306212,1458041,1449191,8436
1998/07,3980786,2814764,0,314110,668443,183469,1998393,1092967,53929,851497,518854,266567,252288,1463539,1455231,7894
1998/08,3990728,2846537,0,284930,675143,184119,1999272,1097869,42556,858848,533775,298364,235411,1457681,1450304,6963
1998/09,4011589,2853272,0,291850,680876,185591,2042686,1122250,54383,866053,517552,292026,225526,1451351,1438996,11941
1998/10,4185868,2946972,0,317940,738230,182726,2174881,1227120,73284,874476,520126,291964,228162,1490861,1427887,16494
1998/11,4212941,2963846,0,299870,742738,206487,2180202,1226361,46727,907114,550839,318391,232448,1481900,1419094,20695
1998/12,4269774,2984173,0,330900,747212,207489,2232378,1241136,78415,912826,547406,312622,234785,1489990,1430415,17701
1999/01,4271669,3033981,0,283520,750207,203961,2267931,1268214,87348,912368,491110,304709,186401,1512628,1461057,9771
1999/02,4285720,3080471,0,251140,749563,204547,2235526,1258886,64396,912245,498005,330036,167969,1552189,1491549,18776
1999/03,4375545,3107402,0,297790,970353,0,2262162,1277510,51613,933039,513341,319929,193412,1600042,1509963,52765
1999/04,4544877,3147180,0,430800,741497,225400,2315684,1330978,55242,929463,579072,274070,305003,1650121,1542132,70555
1999/05,4545530,3178259,0,403770,738694,224807,2275501,1295353,45273,934875,535210,317507,217703,1734819,1565399,140794
1999/06,4606676,3172159,0,466460,744140,223917,2266667,1286220,40224,940223,541739,304079,237661,1798270,1581860,188576
1999/07,4618161,3204649,0,444290,746920,222301,2301544,1329192,29815,942537,495983,283083,212900,1820634,1592375,201575
1999/08,4622349,3243564,0,407580,748217,222988,2287479,1319406,20948,947124,482941,305442,177500,1851929,1618716,209132
1999/09,4656371,3244837,0,408280,743050,260204,2315635,1310263,18741,986631,490265,301015,189251,1850470,1633559,200289
1999/10,4681945,3292178,0,391430,739857,258480,2321341,1316616,22969,981756,487207,340132,147075,1873397,1635430,221386
1999/11,4739449,3329106,0,362110,737777,310456,2323277,1270609,19868,1032800,544074,427981,116093,1872098,1630516,226149
1999/12,4777638,3351374,0,383510,731957,310798,2327478,1286459,12998,1028021,759280,525601,233679,1690880,1539314,136833
2000/01,4828080,3398384,0,390400,731713,307583,2373159,1331674,16168,1025317,606976,450809,156167,1847945,1615901,218065
2000/02,4857301,3424294,0,392100,732724,308183,2369520,1328367,12309,1028844,687034,479960,207074,1800747,1615967,172717
2000/03,4929698,3431336,0,441930,1056432,0,2308389,1251555,11444,1045391,791802,554114,237688,1829507,1625667,192798
2000/04,5020041,3467550,0,507285,732350,312856,2304151,1252675,17348,1034128,657934,441349,216585,2057957,1773527,273352
2000/05,5057420,3497760,0,517544,729565,312551,2304791,1258515,12906,1033370,653327,455727,197599,2099302,1783518,307038
2000/06,5023687,3485760,0,498959,726781,312187,2274055,1231445,12650,1029961,649899,473569,176330,2099733,1780747,309979
2000/07,5107754,3594987,0,474631,727034,311102,2316479,1284543,13000,1018937,650744,440683,210062,2140530,1869762,251569
2000/08,5088311,3596925,0,455726,724234,311427,2251154,1239480,13000,998674,674473,482620,191853,2162684,1874825,250873
2000/09,5110449,3611102,0,439697,715640,344011,2287149,1268235,13000,1005914,645663,459412,186251,2177638,1883455,240446
2000/10,5130721,3655191,0,427447,725899,322183,2264764,1277526,12892,974346,665854,499901,165953,2200102,1877764,248602
2000/11,5217059,3702628,0,414928,744802,354701,2262888,1244559,12857,1005473,728387,551598,176789,2225784,1906471,225282
2000/12,5220991,3729247,0,401971,739904,349868,2266571,1257829,13000,995742,715028,553923,161106,2239392,1917496,227866
2001/01,5280737,3781226,0,412580,760491,326440,2261301,1266157,12830,982314,710341,562119,148222,2309095,1952950,251528
2001/02,5328711,3804420,0,435680,761312,327300,2265607,1269442,13000,983166,685796,533453,152344,2377308,2001526,270336
2001/03,5383864,3806546,0,476388,1100929,0,2248425,1219650,12778,1015996,727264,548451,178813,2408175,2038445,284797
2001/04,5478899,3872862,0,521435,772569,312033,2268177,1275508,13000,979670,679827,500265,179562,2530895,2097090,328873
2001/05,5551480,3939007,0,532515,748653,331306,2300855,1332875,12990,954989,603666,471497,132170,2646959,2134635,387355
2001/06,5571861,3963493,0,528817,727282,352269,2250503,1304069,12778,933656,655669,512682,142986,2665689,2146741,373053
2001/07,5618939,4031720,0,517277,702795,367146,2270282,1332649,13000,924633,670494,532870,137624,2678163,2166202,366653
2001/08,5646849,4091386,0,488630,679395,387438,2243880,1309394,12961,921525,667367,539195,128172,2735602,2242798,347497
2001/09,5655553,4129698,0,458312,675674,391869,2224801,1328196,12997,883607,662773,558260,104513,2767979,2243243,340802
2001/10,5683377,4181953,0,442684,688381,370360,2220053,1332368,12880,874806,649045,584191,64854,2814279,2265394,364950
2001/11,5761532,4252531,0,421910,709597,377494,2315004,1389014,12606,913384,624695,560882,63813,2821833,2302635,345491
2001/12,5824556,4304808,0,425320,736727,357701,2390180,1437736,17924,934520,639365,556320,83045,2795011,2310752,324351
2002/01,5883027,4375653,0,431010,755527,320836,2434074,1498440,25977,909656,602821,542135,60687,2846132,2335078,344346
2002/02,6002803,4448255,0,473197,779459,301892,2487966,1546506,34428,907032,666403,555087,111316,2848434,2346662,327453
2002/03,6073122,4481625,0,496034,1095463,0,2535138,1568306,38751,928081,702461,553718,148743,2835523,2359601,308540
2002/04,6191690,4547836,0,568827,782330,292697,2594067,1614808,77114,902145,683406,541191,142215,2914217,2391838,349498
2002/05,6257113,4620159,0,569238,746319,321397,2637775,1654527,92827,890421,634149,520527,113622,2985190,2445105,362790
2002/06,6273900,4636417,0,568630,719417,349435,2603287,1622548,87870,892869,664236,546959,117277,3006376,2466910,363483
2002/07,6340073,4704375,0,575260,696217,364220,2612950,1649466,77965,885519,671992,572500,99492,3055130,2482409,397803
2002/08,6347485,4768250,0,525936,644817,408482,2616051,1660666,75479,879906,680013,603311,76702,3051421,2504273,373755
2002/09,6315261,4783339,0,481621,616410,433890,2614450,1650543,89000,874907,654228,606132,48096,3046583,2526664,344525
2002/10,6372506,4837703,0,492390,636187,406226,2673414,1685375,121020,867019,673199,618076,55123,3025893,2534252,316247
2002/11,6440766,4907706,0,453377,664567,415117,2730310,1708220,117943,904147,654263,626333,27931,3056193,2573154,307503
2002/12,6431945,4925878,0,435258,680924,389886,2682144,1671871,115000,895274,690634,664686,25948,3059167,2589320,294310
2003/01,6480236,4987775,0,431308,699160,361993,2721068,1740469,94918,885681,657350,630421,26929,3101818,2616884,309462
2003/02,6611624,5044487,0,507965,730517,328655,2758558,1766885,107973,883700,698219,653391,44828,3154846,2624211,355164
2003/03,6687605,5042536,0,574864,1070205,0,2765168,1764258,106379,894530,767095,670706,96388,3155343,2607571,372096
2003/04,6364765,5100116,0,680450,261354,322845,1258264,704324,156000,397940,756570,668978,87592,4349930,3726814,436857
2003/05,6467668,5174352,0,708271,220625,364420,1264433,707542,159000,397890,759780,651711,108069,4443455,3815098,441202
2003/06,6437599,5171053,0,680639,195125,390783,1216783,668030,150000,398753,741851,668996,72855,4478965,3834026,457784
2003/07,6481597,5233007,0,663752,169561,415277,1170611,645355,127509,397747,788192,725546,62645,4522795,3862106,473598
2003/08,6529170,5287710,0,660658,135561,445241,1169070,657358,118000,393711,783708,726684,57023,4576393,3903667,485635
2003/09,6556840,5301690,0,672027,108689,474434,1195376,694231,105000,396145,789244,677405,111839,4572220,3930054,455188
2003/10,6630441,5355802,0,696678,132685,445276,1190750,677016,125000,388733,789626,676089,113537,4650065,4002696,458141
2003/11,6705070,5414450,0,687389,169239,433992,1230893,695140,125000,410753,775039,666981,108058,4699139,4052329,454332
2003/12,6701212,5398169,0,703353,193389,406301,1162149,625574,128000,408575,816222,715807,100415,4722841,4056788,474938
2004/01,6754568,5476194,0,678659,220975,378741,1200450,670935,123000,406516,722632,662884,59748,4831486,4142375,495911
2004/02,6881373,5532314,0,745177,263189,340693,1234837,687344,143000,404494,716190,646996,69194,4930345,4197975,532983
2004/03,7031478,5564163,0,861259,606057,0,1248117,673855,169945,404317,804100,676195,127905,4979261,4214113,563409
2004/04,7137451,5632449,0,926251,242525,336227,1233668,638656,218000,377012,772967,702292,70675,5130816,4291500,637576
2004/05,7234210,5692636,0,964559,205128,371888,1263527,660470,228000,375057,750372,681844,68528,5220311,4350322,668031
2004/06,7292281,5714271,0,998907,177392,401711,1204958,606821,230242,367894,817164,730777,86387,5270159,4376673,682278
2004/07,7313807,5789418,0,951402,149409,423579,1196111,612064,222000,362046,773556,728879,44677,5344141,4448475,684725
2004/08,7346491,5855490,0,917298,112924,460779,1195953,653704,180000,362249,765623,706420,59203,5384915,4495365,678095
2004/09,7309853,5866629,0,867875,83201,492148,1214286,683895,166000,364391,751261,679528,71733,5344306,4503207,630142
2004/10,7403860,5953986,0,878622,109023,462230,1255553,705125,191334,359095,713392,647647,65745,5434915,4601214,621543
2004/11,7486455,6020534,0,870458,147328,448135,1310262,730775,198000,381487,701642,633098,68544,5474552,4656661,603914
2004/12,7511065,6060357,0,858974,182192,409543,1247838,663911,204000,379926,734425,683015,51410,5528803,4713431,603564
2005/01,7616134,6165340,0,859944,210896,379954,1335961,755862,201990,378109,639726,609584,30142,5640447,4799894,627812
2005/02,7712790,6241546,0,892666,250027,328551,1367102,771384,232000,363718,669783,604919,64864,5675905,4865243,595802
2005/03,7815517,6263633,0,960762,591122,0,1382083,679750,326732,375601,759107,689202,69905,5674327,4894682,564125
2005/04,7936372,6342973,0,1011441,245287,336671,1411035,715912,328686,366437,692600,647753,44847,5832737,4979309,637907
2005/05,7965355,6400625,0,983388,206359,374983,1431910,748308,318000,365602,663955,627804,36151,5869490,5024513,629237
2005/06,7958338,6404002,0,971694,167796,414846,1364287,671163,326222,366902,711196,684456,26741,5882855,5048383,618732
2005/07,8037991,6483065,0,982890,138685,433352,1417829,717365,344000,356464,677986,644401,33585,5942176,5121299,605304
2005/08,8034007,6534035,0,927580,100169,472222,1390269,736451,297000,356818,684131,636163,47968,5959607,5161422,582612
2005/09,7990201,6501285,0,910392,69279,509246,1362738,665435,344000,353302,711386,675170,36215,5916078,5160679,530177
2005/10,8055783,6570321,0,915185,96206,474071,1390847,668073,377950,344824,693218,673148,20070,5971718,5229100,517166
2005/11,8118601,6612104,0,911039,135445,460014,1422786,667919,386000,368867,676267,649480,26787,6019548,5294705,498252
2005/12,8131830,6637743,0,900593,171884,421610,1382289,643216,370000,369073,704225,679812,24413,6045316,5314715,506180
2006/01,8228956,6736381,0,901223,199587,391765,1461308,732027,361000,368281,643485,610787,32698,6124164,5393568,507525
2006/02,8273889,6792716,0,908617,239125,333432,1475766,768201,359000,348566,622683,586432,36251,6175440,5438083,513366
2006/03,8274805,6705794,0,976274,592737,0,1411071,646365,397000,367707,704410,659759,44652,6159323,5399671,534622
2006/04,8378331,6763797,0,1029512,246731,338291,1414093,643101,411000,359992,671098,641869,29228,6293140,5478826,589284
2006/05,8416437,6816895,0,1014651,206987,377903,1445029,699388,386000,359642,610844,581845,28999,6360563,5535662,599652
2006/06,8277948,6688199,0,1004470,167472,417807,1271588,534438,387000,350150,729541,686208,43332,6276819,5467553,574138
2006/07,8317851,6772446,0,961142,137734,446528,1300557,593322,358000,349235,675156,633082,42074,6342137,5546042,561068
2006/08,8333308,6821585,0,944751,88636,478337,1303203,623557,348000,331646,633570,584785,48785,6396535,5613243,547965
2006/09,8279166,6749506,0,946918,58170,524572,1264695,554280,363000,347415,652804,597138,55666,6361667,5598089,528252
2006/10,8369960,6817971,0,972109,86341,493539,1276590,549156,383000,344434,608402,573738,34664,6484968,5695076,554445
2006/11,8438731,6869105,0,975048,135694,458884,1311662,565949,387000,358713,605682,555927,49754,6521388,5747228,538293
2006/12,8322631,6762919,0,964710,175391,419611,1154050,422074,373000,358976,693212,648453,44760,6475369,5692392,546951
2007/01,8357428,6803647,0,959870,205153,388758,1192584,487814,347005,357765,638908,589966,48942,6525937,5725867,563923
2007/02,8411586,6861846,0,968061,244841,336838,1218495,490117,383005,345373,633250,575988,57262,6559841,5795741,527794
2007/03,8343786,6741221,0,1009741,592824,0,1103065,369366,372005,361694,670052,616145,53907,6570670,5755710,583830
2007/04,8462647,6801921,0,1073142,433510,154074,1074857,333670,384005,357182,674555,636634,37922,6713234,5831617,651215
2007/05,8518885,6850513,0,1081085,383799,203488,1122683,364480,400005,358198,626646,599083,27564,6769556,5886951,653516
2007/06,8365213,6717975,0,1076524,326800,243915,964744,246832,375006,342906,672225,641608,30617,6728245,5829535,670901
2007/07,8397503,6787632,0,1041816,297043,271012,1019723,337512,341005,341206,579301,549182,30120,6798478,5900938,670691
2007/08,8414163,6827100,0,1019093,247650,320319,1012509,369984,300005,342519,576469,530819,45649,6825186,5926296,673439
2007/09,8336982,6746777,0,1021040,222907,346259,956885,307969,300005,348911,625427,566613,58814,6754671,5872195,662221
2007/10,8398137,6813878,0,1018321,249557,316382,960344,317656,297005,345683,606300,546000,60299,6831493,5950222,661016
2007/11,8479881,6874491,0,1035189,297358,272842,1006519,342891,314002,349626,579468,526570,52898,6893894,6005030,668289
2007/12,8380050,6786416,0,1023269,335764,234602,881875,253084,279000,349791,624019,568069,55950,6874156,5965263,688318
2008/01,8467410,6878357,0,1020217,374166,194670,962642,330380,284001,348261,564449,515078,49371,6940319,6032899,686845
2008/02,8545425,6972920,0,1004498,412567,155440,1010743,357310,306000,347432,528579,476904,51675,7006104,6138706,646823
2008/03,8492396,6843278,0,1077528,571590,0,894183,209393,337005,347785,632282,571692,60590,6965930,6062193,679933
2008/04,8602864,6897594,0,1140257,404230,160783,914353,214143,359001,341209,603810,573597,30213,7084701,6109853,751043
2008/05,8606074,6936489,0,1105686,355278,208621,917698,233812,344010,339876,573109,527533,45576,7115267,6175145,716100
2008/06,8484424,6852128,0,1067414,316880,248002,794207,146339,307009,340859,640515,599619,40897,7049702,6106171,719509
2008/07,8487786,6864666,0,1065562,275565,281993,813527,205986,274005,333535,555439,511799,43640,7118820,6146880,747917
2008/08,8508244,6884579,0,1066050,237192,320424,813339,232766,247005,333568,539232,492937,46296,7155673,6158876,772749
2008/09,8432794,6802570,0,1069897,214378,345949,765498,166247,260007,339243,621813,555129,66684,7045483,6081193,743205
2008/10,8468130,6844967,0,1065451,251007,306705,753909,170309,247016,336584,640614,565699,74915,7073606,6108960,743519
2008/11,8523553,6892393,0,1069194,289260,272706,791159,200531,250010,340619,595901,523985,71916,7136493,6167878,747268
2008/12,8466905,6815656,0,1088779,328150,234319,710402,99269,270010,341123,682680,605381,77299,7073824,6111006,741470
2009/01,8503151,6873898,0,1070668,363640,194944,771826,196588,238000,337238,589805,509191,80614,7141521,6168119,752054
2009/02,8553336,6899901,0,1095367,402041,156027,781383,203161,241500,336721,570631,498469,72162,7201323,6198271,781706
2009/03,8464970,6728487,0,1160821,575661,0,661138,95610,211436,354092,625687,535245,90442,7178145,6097632,858943
2009/04,8598413,6761809,0,1267926,395435,173243,662115,80432,234130,347553,669811,543491,126320,7266486,6137886,907476
2009/05,8645882,6796202,0,1281712,356912,211056,705231,164067,194140,347025,563119,464819,98300,7377532,6167316,989272
2009/06,8602557,6672125,0,1363344,317864,249223,591552,60068,184940,346544,651602,508243,143359,7359403,6103814,1035045
2009/07,8640929,6744258,0,1332941,276547,287183,614091,152663,117840,343587,565142,414675,150467,7461697,6176919,1064634
2009/08,8699632,6804118,0,1332139,238157,325217,635647,187701,104316,343630,530949,393263,137686,7533036,6223155,1090138
