"Date","名目季節調整系列(前期比):国内総生産(支出側)","名目季節調整系列(前期比):民間最終消費支出","名目季節調整系列(前期比):民間最終消費支出:家計最終消費支出","名目季節調整系列(前期比):民間最終消費支出:家計最終消費支出:除く持ち家の帰属家賃","名目季節調整系列(前期比):民間住宅","名目季節調整系列(前期比):民間企業設備","名目季節調整系列(前期比):民間在庫変動","名目季節調整系列(前期比):政府最終消費支出","名目季節調整系列(前期比):公的固定資本形成","名目季節調整系列(前期比):公的在庫変動","名目季節調整系列(前期比):財貨・サービス:純輸出","名目季節調整系列(前期比):財貨・サービス:輸出","名目季節調整系列(前期比):財貨・サービス:輸入"
2001-12-01,-0.5,-0.3,-0.3,-0.5,0.1,-5.4,,0.7,-2.8,,,-0.8,-4.7
2002-03-01,0.1,-0.1,0,-0.1,-1.3,-1,,2.4,0.8,,,5.4,2.7
2002-06-01,-0.2,0.5,0.6,0.7,0.1,-2.1,,-2.1,-3,,,4.6,2.1
2002-09-01,0,0,0.1,0,-0.6,0.9,,0.6,-0.6,,,-2.3,0.5
2002-12-01,0.1,-0.4,-0.4,-0.5,-1.9,0,,-0.3,-1.6,,,6.5,4.8
2003-03-01,-1,-0.4,-0.4,-0.6,-1,-0.9,,-0.1,-3.2,,,-1.5,1
2003-06-01,0.9,-0.1,-0.2,-0.3,0.5,1.3,,1.8,0.1,,,0.4,-4.6
2003-09-01,0.1,-0.1,-0.2,-0.3,2.9,-2,,-0.5,-2.7,,,2.8,2.3
2003-12-01,0.4,1,1,1.2,-2.4,4,,-1.3,-2.3,,,2.2,-0.1
2004-03-01,0.7,0.1,0.2,0.1,1,-0.6,,0.7,-4.3,,,4.8,5
2004-06-01,-0.4,-0.1,-0.1,-0.2,2,-0.4,,0.3,-0.6,,,3.8,4.5
2004-09-01,0.4,0.3,0.3,0.3,0.3,1.1,,0.4,-1.8,,,2.1,3.8
2004-12-01,-0.3,-0.6,-0.6,-0.8,-0.4,1.5,,0.5,-0.9,,,1.2,2.7
2005-03-01,0.1,0.2,0.1,0.1,-0.9,3.2,,-0.3,-2.2,,,-1.8,0.1
2005-06-01,0.5,0.8,0.7,0.8,-1.3,3.4,,0.2,-5.8,,,4.8,5.9
2005-09-01,0.6,0.7,0.7,0.8,2.1,1.8,,0.1,1.8,,,4.1,6.5
2005-12-01,0,0.1,0.1,0,1.6,-1.6,,0.3,-1.8,,,6.8,5.1
2006-03-01,-0.2,0.4,0.4,0.4,-0.3,-0.3,,-0.5,3.3,,,1.9,4.6
2006-06-01,0.2,0.1,0.1,0,-0.2,2.1,,0,-3.6,,,1.3,1.3
2006-09-01,-0.4,-0.6,-0.6,-0.8,1.1,0,,-0.2,-5.3,,,3.6,3.2
2006-12-01,1.2,0.8,0.8,0.9,1.2,2.2,,-0.2,1.6,,,2,0
2007-03-01,0.6,0.1,0.2,0.1,-0.5,0.2,,0.1,-0.5,,,3.5,2.7
2007-06-01,0,0.4,0.4,0.5,-1.3,-1.3,,1.3,-1.9,,,4,4.2
2007-09-01,-0.8,-0.6,-0.6,-0.9,-8.8,-1.5,,-0.6,-1.2,,,1,-0.4
2007-12-01,0,0.5,0.5,0.5,-12.9,0.4,,1.2,2.9,,,1.1,4.5
2008-03-01,0.2,0.9,0.9,1,4,1.3,,0.1,-2,,,-0.3,1.7
2008-06-01,-0.8,-1.3,-1.3,-1.7,6.5,-1.5,,-0.9,-2.4,,,0.3,2.5
2008-09-01,-2,0.1,0.1,0,4.8,-1.2,,-0.7,1.1,,,3.1,8.1
2008-12-01,-0.9,-1.8,-1.8,-2.2,-0.7,-5,,0.9,-1.2,,,-23.1,-19.1
2009-03-01,-4.8,-1.7,-1.7,-2.1,-9.2,-6.9,,-0.7,1.6,,,-29.5,-27.7
2009-06-01,1.1,0.5,0.5,0.6,-11.5,-4.4,,0.7,5.6,,,10.7,-2.9
2009-09-01,-0.9,-0.1,-0.1,-0.2,-7.5,-3.7,,1.1,-1.8,,,9.7,8.9
2009-12-01,0.8,0.4,0.4,0.4,-3.6,-1,,0.4,1.2,,,6,3.4
2010-03-01,1,0.4,0.4,0.5,3.2,0.9,,-0.5,0.2,,,6.6,4.7
2010-06-01,0.6,0.2,0.1,0.2,1.3,1.4,,1.2,-5.1,,,4.7,5.7
2010-09-01,1.2,0.6,0.6,0.7,0.9,0.7,,0.3,-0.2,,,-0.3,-0.4
2010-12-01,-1,-1,-1,-1.3,2.9,-1,,-0.3,-2.7,,,-0.4,1.6
2011-03-01,-1.7,-1.8,-1.9,-2.3,1.3,1.8,,1.1,-2.5,,,-0.4,4.9
2011-06-01,-1.3,0.8,0.8,1,-1.5,-2.2,,0.3,3.3,,,-7.5,3
2011-09-01,2,1.1,1.1,1.3,5.3,2.6,,0.2,-2.4,,,8.7,3.7
2011-12-01,-0.1,0.6,0.6,0.7,-2.5,4.9,,0.1,-4.6,,,-4.7,0.3
2012-03-01,1.2,0.4,0.4,0.4,-2.9,-0.2,,1.3,8.9,,,2.8,1.6
2012-06-01,-1,0.2,0.2,0.2,3.7,0.2,,-1.2,-1.6,,,-1.3,2
2012-09-01,-0.6,-0.9,-1,-1.2,1.9,-1,,0.6,-3.3,,,-3.5,-2.3
2012-12-01,0.1,0.5,0.4,0.5,2.3,-0.3,,0.5,0.3,,,-2,0
2013-03-01,1.1,1.4,1.4,1.7,1.5,0.1,,0.4,5.2,,,9.8,8.3
2013-06-01,0.8,0.8,0.8,1,2.2,4.4,,0.6,1.4,,,5.8,5
2013-09-01,0.8,0.5,0.4,0.5,4.4,2.3,,0.3,5.2,,,1.5,3.8
2013-12-01,-0.1,0.2,0.3,0.3,4.5,1.7,,-0.3,2,,,-0.4,4.7
2014-03-01,1.3,2.7,2.8,3.4,2,2.9,,0.7,0,,,6.2,7.1
2014-06-01,0,-3.4,-3.4,-4,-6.6,-1.5,,1.1,-3.1,,,0.9,-5.7
2014-09-01,-0.1,0.4,0.5,0.6,-7,1.3,,0.7,2,,,3.7,3.8
2014-12-01,1,0.6,0.6,0.7,0.1,0.7,,0.2,1.6,,,5.6,2.1
2015-03-01,2.2,0.3,0.3,0.3,3,1.7,,0.6,-1,,,-0.6,-6.6
2015-06-01,0.2,-0.2,-0.3,-0.4,1,-1.1,,-0.1,0.2,,,-2.3,-2.1
2015-09-01,0.4,0.6,0.6,0.7,2,0.7,,0.5,-1.3,,,2.4,1.4
2015-12-01,-0.2,-0.6,-0.7,-0.8,-0.8,-0.2,,0.8,-1.5,,,-4.4,-4.7
2016-03-01,1,-0.1,-0.1,-0.1,0.2,-0.2,,1.3,-0.6,,,-4,-10.3
2016-06-01,0,0,0,0,2.7,0.5,,-1.9,-1,,,-3.1,-3.7
2016-09-01,0.1,0.3,0.3,0.3,3,-0.2,,0.3,-0.7,,,0.3,-0.7
2016-12-01,0.5,0.6,0.5,0.7,1,2.2,,0.3,-1.7,,,5.4,5.4
2017-03-01,0,0.2,0.2,0.2,1.4,1.2,,0,1.1,,,5.5,7.5
2017-06-01,1.1,0.8,0.8,1,1.5,2.9,,0.4,5.3,,,-1.1,0.2
