"Date","実質季節調整系列(年率):国内総生産(支出側)","実質季節調整系列(年率):民間最終消費支出","実質季節調整系列(年率):民間最終消費支出:家計最終消費支出","実質季節調整系列(年率):民間最終消費支出:家計最終消費支出:除く持ち家の帰属家賃","実質季節調整系列(年率):民間住宅","実質季節調整系列(年率):民間企業設備","実質季節調整系列(年率):民間在庫変動","実質季節調整系列(年率):政府最終消費支出","実質季節調整系列(年率):公的固定資本形成","実質季節調整系列(年率):公的在庫変動","実質季節調整系列(年率):財貨・サービス:純輸出","実質季節調整系列(年率):財貨・サービス:輸出","実質季節調整系列(年率):財貨・サービス:輸入"
2000-06-01,0.8,-1.9,-1.4,-2.1,8.7,-5.8,NA,4.7,-1.8,NA,NA,13.3,16.6
2000-09-01,0.1,0.9,1.3,1.1,-9.2,13.7,NA,3,-7.6,NA,NA,6.6,10.6
2000-12-01,4,4.8,4.9,5.3,10.6,14.9,NA,2.2,-12.1,NA,NA,-1.9,15.7
2001-03-01,2.6,2.5,2.3,2.2,-2.2,0.5,NA,1.2,19.9,NA,NA,-13.7,0.7
2001-06-01,-2.4,2.9,2.6,2.7,-23.1,-10.7,NA,7.7,-21,NA,NA,-14.1,-9
2001-09-01,-4.4,-1.2,-1.4,-2.1,-2.8,-6.2,NA,2,0.1,NA,NA,-8.7,-11.1
2001-12-01,-0.8,0.8,0.8,0.5,1.7,-17.4,NA,5.6,-9.6,NA,NA,-7.3,-11.5
2002-03-01,0.3,0.8,1,0.7,-4.1,-2.3,NA,1,4.6,NA,NA,19.2,3.8
2002-06-01,3.2,3.3,3.6,3.9,2.2,-5.5,NA,1.7,-10,NA,NA,32.5,12.2
2002-09-01,1.7,1.4,1.6,1.5,-3,5.7,NA,3.1,-1.4,NA,NA,2.7,12.7
2002-12-01,1.5,-0.5,-0.6,-1.1,-6.5,1.9,NA,-0.9,-5.9,NA,NA,14.6,6.5
2003-03-01,-1.2,-0.4,-0.6,-1.1,-4.1,0,NA,2.3,-12.6,NA,NA,5.3,3.8
2003-06-01,3.8,0.7,0.5,0.2,3,8.4,NA,3.5,1.4,NA,NA,0.8,-12.9
2003-09-01,1.7,0.4,0.2,-0.2,9.2,-6.7,NA,1.5,-10.9,NA,NA,15.2,9.7
2003-12-01,4.3,5.2,5.2,6.1,-7.8,19.4,NA,1.8,-8.7,NA,NA,21.5,8.6
2004-03-01,3.5,0.8,0.8,0.5,1.9,-0.7,NA,1.8,-17.2,NA,NA,21.2,12.5
2004-06-01,-0.3,0.1,0.1,-0.1,8.8,-0.9,NA,-1.1,-2.6,NA,NA,13.5,6.6
2004-09-01,1.9,1.9,2,2.1,0.3,4.7,NA,1.8,-7.4,NA,NA,3.9,9.2
2004-12-01,-1.6,-3,-3.1,-3.9,-2.4,8.4,NA,-0.3,-5.2,NA,NA,5.5,12
2005-03-01,2.2,1.7,1.7,1.8,-3,13.7,NA,4,-8.2,NA,NA,-4,-1.6
2005-06-01,3.6,3.5,3.5,3.9,-5.8,14.7,NA,-1.6,-22.7,NA,NA,18.2,7.1
2005-09-01,3.9,3.9,3.9,4.4,8,7.8,NA,-0.7,6.3,NA,NA,13.3,12.1
2005-12-01,0.7,0.2,0.2,0,5,-7.1,NA,1.8,-8.2,NA,NA,15,0.2
2006-03-01,0.2,0.7,0.7,0.7,-2.7,-2,NA,-1.3,11.6,NA,NA,9.2,7.5
2006-06-01,1.7,0.8,0.8,0.7,-2.7,9.2,NA,1.4,-14.8,NA,NA,6.8,5.4
2006-09-01,-0.7,-2.6,-2.7,-3.5,2.6,-0.3,NA,0,-20.2,NA,NA,7.9,-0.4
2006-12-01,4.5,4.1,4.2,4.7,2.4,8.8,NA,-0.5,6.7,NA,NA,4.6,0
2007-03-01,3.6,1.8,1.9,2,-5.1,1.9,NA,2.1,-3.8,NA,NA,9.9,3.9
2007-06-01,-0.4,1.5,1.6,1.7,-6.8,-5.3,NA,3,-9.3,NA,NA,9.4,5.9
2007-09-01,-1.2,-2.4,-2.4,-3,-31.1,-5.6,NA,-0.8,-5.2,NA,NA,10.9,-3.5
2007-12-01,1.9,0.5,0.5,0.4,-42.9,1.1,NA,2.8,9.2,NA,NA,12.1,4.7
2008-03-01,1.6,2.5,2.6,2.8,13.8,4.7,NA,0.5,-10,NA,NA,10,6.6
2008-06-01,-2.8,-5.8,-5.9,-7.2,21.7,-7.6,NA,-4.7,-13.8,NA,NA,-7.9,-11.3
2008-09-01,-4.8,-1.5,-1.4,-2,16.1,-5.7,NA,-0.1,-0.3,NA,NA,0.9,1.4
2008-12-01,-8.3,-3.7,-3.8,-4.9,0.4,-15.5,NA,1.5,-1,NA,NA,-41.9,7
2009-03-01,-18,-2.7,-2.9,-3.8,-29.4,-20.5,NA,1.1,13.7,NA,NA,-69.3,-50.3
2009-06-01,8.2,4,3.9,4.5,-34.7,-12.7,NA,5.8,32,NA,NA,41.2,-16.9
2009-09-01,-0.3,2.3,2.3,2.5,-24.7,-12.1,NA,4.9,-3.9,NA,NA,45.8,23.6
2009-12-01,6.1,3.3,3.2,3.6,-12.5,-2.9,NA,2.2,5.2,NA,NA,31.6,8.7
2010-03-01,4.3,2.5,2.4,2.7,12,1.6,NA,-3.8,-1.4,NA,NA,26.1,11.7
2010-06-01,4,1.2,1.1,1.1,6.3,7.4,NA,6.7,-18.6,NA,NA,20.4,21.6
2010-09-01,7.7,5.9,5.9,6.9,2.3,5.4,NA,1.7,0.3,NA,NA,11.7,8.4
2010-12-01,-2.6,-4.5,-4.7,-6,12.5,-1.5,NA,1.7,-9.7,NA,NA,1.5,2.2
2011-03-01,-5.8,-7.1,-7.5,-9.1,4.2,6.9,NA,1.9,-11,NA,NA,-4,6
2011-06-01,-2,4.2,4,5,-5.6,-6,NA,1.5,14.9,NA,NA,-26.8,-2.6
2011-09-01,9.5,5.3,5.2,6,21.8,9.9,NA,1.5,-10.1,NA,NA,42.6,14.1
2011-12-01,-0.4,1.9,1.7,1.8,-8.4,23.3,NA,0.9,-16.8,NA,NA,-10.3,7.3
2012-03-01,4.3,1.6,1.5,1.5,-10.4,-3.3,NA,4.8,39.2,NA,NA,12.3,7.4
2012-06-01,-1.5,2.6,2.4,2.6,19,2.7,NA,-1.4,-3.5,NA,NA,-3.6,8.4
2012-09-01,-1.8,-0.8,-1.1,-1.6,8.2,-2,NA,1.4,-11.6,NA,NA,-13.9,-1.1
2012-12-01,0.5,0.6,0.5,0.3,7.7,-0.7,NA,2.5,-0.1,NA,NA,-12.6,-9.5
2013-03-01,4.8,6,6.2,7.2,2.9,-2.9,NA,0,19,NA,NA,12.5,2.1
2013-06-01,4.4,3.8,3.8,4.3,5.3,19.4,NA,4.7,6.6,NA,NA,15,13
2013-09-01,2.3,0.5,0.4,0.2,14.1,8.4,NA,0.3,20.4,NA,NA,-0.9,8.9
2013-12-01,-0.5,-1,-1,-1.5,14.8,6,NA,0.5,5,NA,NA,-1,13.1
2014-03-01,4.5,10.2,10.7,12.6,8.1,9.4,NA,0.9,-3.6,NA,NA,26.9,26.4
2014-06-01,-7,-18.3,-18.5,-22.1,-31.6,-6.5,NA,-2.3,-15.6,NA,NA,4.9,-15.7
2014-09-01,-0.9,1.3,1.6,1.7,-25.7,4,NA,2.2,5.5,NA,NA,5.2,7.1
2014-12-01,2.7,2.4,2.4,2.7,0.2,2.3,NA,0.6,7.6,NA,NA,13.6,5.1
2015-03-01,5.3,2,1.7,1.9,13.4,4.3,NA,3.7,-8.6,NA,NA,6.5,1.7
2015-06-01,0,-1.5,-1.8,-2.5,4.4,-4.2,NA,0.4,2.5,NA,NA,-13.5,-10
2015-09-01,0.6,2.1,1.9,2.1,6.2,2.7,NA,1.8,-4.7,NA,NA,8.6,9.7
2015-12-01,-1,-2.5,-2.7,-3.5,-3.9,0.4,NA,2.9,-4.9,NA,NA,-3,-3
2016-03-01,1.9,1.5,1.5,1.5,5.9,-0.7,NA,5.5,-4.6,NA,NA,3.5,-4.3
2016-06-01,2.2,0.9,0.9,0.8,13.8,5.7,NA,-4.2,4.1,NA,NA,-4.6,-3.9
2016-09-01,1.2,1.4,1.3,1.4,10.1,-0.4,NA,1,-3.6,NA,NA,8.5,-1
2016-12-01,1.2,0.2,0.1,-0.1,0.5,8.4,NA,1,-9.5,NA,NA,11,5.3
