種類,地域,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,取引価格（㎡単価）,土地の形状,間口,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）
宅地(土地),商業地,東京都,台東区,今戸,浅草(東武・都営・メトロ),15,460000,ほぼ長方形,4.5,区道,6,近隣商業地域,80,400
宅地(土地),住宅地,東京都,台東区,上野桜木,鶯谷,9,990000,長方形,4.4,区道,5.3,第１種中高層住居専用地域,60,300
宅地(土地),商業地,東京都,台東区,雷門,浅草(東武・都営・メトロ),5,1300000,ほぼ長方形,10.1,区道,6,商業地域,80,700
宅地(土地),商業地,東京都,台東区,千束,三ノ輪,9,340000,ほぼ長方形,8,区道,22,商業地域,80,500
宅地(土地),商業地,東京都,台東区,台東,秋葉原,10,920000,長方形,4.5,区道,4,商業地域,80,600
宅地(土地),商業地,東京都,台東区,台東,仲御徒町,10,760000,ほぼ長方形,6,区道,6,商業地域,80,500
宅地(土地),商業地,東京都,台東区,日本堤,南千住,9,440000,ほぼ長方形,7,区道,6,近隣商業地域,80,400
宅地(土地),商業地,東京都,台東区,根岸,入谷(東京),6,640000,ほぼ長方形,7.2,区道,11,商業地域,80,500
宅地(土地),住宅地,東京都,台東区,根岸,鶯谷,4,700000,ほぼ正方形,9.3,区道,3.6,第１種住居地域,60,300
宅地(土地),商業地,東京都,台東区,東上野,稲荷町(東京),4,840000,ほぼ正方形,8,区道,8,商業地域,80,600
宅地(土地),商業地,東京都,台東区,東上野,上野,8,860000,不整形,10,区道,6,商業地域,80,600
宅地(土地),商業地,東京都,台東区,柳橋,浅草橋,4,590000,ほぼ長方形,10,区道,6,商業地域,80,500
宅地(土地),住宅地,東京都,墨田区,菊川,菊川(東京),2,770000,ほぼ長方形,5.4,区道,11,準工業地域,60,300
宅地(土地),住宅地,東京都,墨田区,菊川,菊川(東京),3,320000,ほぼ長方形,6.3,私道,3.3,準工業地域,60,300
宅地(土地),住宅地,東京都,墨田区,立花,小村井,1,440000,ほぼ台形,8.5,私道,3.2,商業地域,80,400
宅地(土地),住宅地,東京都,墨田区,東向島,曳舟,5,300000,台形,11.5,私道,2.8,準工業地域,80,300
宅地(土地),住宅地,東京都,墨田区,文花,小村井,8,300000,長方形,6,区道,4.2,準工業地域,80,300
宅地(土地),商業地,東京都,墨田区,向島,押上,9,1100000,ほぼ台形,20.1,区道,14.8,商業地域,80,500
宅地(土地),住宅地,東京都,墨田区,八広,京成曳舟,8,520000,ほぼ長方形,7.8,私道,4.5,準工業地域,80,200
宅地(土地),住宅地,東京都,江東区,大島,大島(東京),6,510000,ほぼ長方形,7,区道,6.1,第１種住居地域,60,300
宅地(土地),住宅地,東京都,江東区,亀戸,亀戸,12,780000,不整形,16.5,区道,8,近隣商業地域,80,300
宅地(土地),住宅地,東京都,江東区,亀戸,亀戸,12,730000,ほぼ長方形,7,区道,8,近隣商業地域,80,300
宅地(土地),住宅地,東京都,江東区,北砂,大島(東京),16,520000,ほぼ長方形,5.3,私道,3.8,第１種住居地域,60,300
宅地(土地),住宅地,東京都,江東区,東雲,東雲(東京),8,540000,不整形,18.8,区道,15,準工業地域,60,300
宅地(土地),工業地,東京都,江東区,新木場,新木場,29,270000,ほぼ長方形,24.3,区道,20,準工業地域,60,200
宅地(土地),住宅地,東京都,江東区,住吉,菊川(東京),6,870000,長方形,22.4,区道,7.2,準工業地域,60,300
宅地(土地),住宅地,東京都,江東区,千田,住吉(東京),9,490000,不整形,4.9,区道,6,準工業地域,60,300
宅地(土地),住宅地,東京都,江東区,福住,門前仲町,5,470000,長方形,4,私道,2,商業地域,80,400
宅地(土地),住宅地,東京都,品川区,大崎,大崎,9,610000,ほぼ整形,16,区道,3.8,第１種住居地域,60,300
宅地(土地),住宅地,東京都,品川区,上大崎,五反田,8,1200000,ほぼ長方形,5.2,区道,4.5,第１種住居地域,60,300
宅地(土地),住宅地,東京都,品川区,北品川,大崎,11,680000,ほぼ長方形,16,区道,4.5,第１種低層住居専用地域,60,150
宅地(土地),住宅地,東京都,品川区,小山,西小山,4,570000,不整形,5.5,私道,2,第１種住居地域,60,200
宅地(土地),商業地,東京都,品川区,戸越,戸越公園,3,970000,ほぼ長方形,5,都道,20,近隣商業地域,80,400
宅地(土地),住宅地,東京都,品川区,中延,荏原中延,4,750000,ほぼ整形,5,区道,4.3,第１種中高層住居専用地域,60,200
宅地(土地),商業地,東京都,品川区,中延,中延,4,800000,ほぼ長方形,6.7,区道,6.8,近隣商業地域,80,300
宅地(土地),住宅地,東京都,品川区,西大井,西大井,7,530000,ほぼ長方形,4.8,区道,9.3,準工業地域,60,200
宅地(土地),住宅地,東京都,品川区,西中延,荏原中延,7,690000,不整形,6,区道,6.2,第１種住居地域,60,200
宅地(土地),住宅地,東京都,品川区,西中延,荏原中延,7,660000,長方形,9,区道,6.2,第１種住居地域,60,200
宅地(土地),住宅地,東京都,品川区,東品川,天王洲アイル,7,680000,長方形,12,区道,18,準工業地域,60,300
宅地(土地),住宅地,東京都,品川区,東中延,荏原中延,2,750000,長方形,5,村道,6,近隣商業地域,80,400
宅地(土地),住宅地,東京都,品川区,平塚,戸越銀座,3,460000,不整形,4,区道,4,準工業地域,60,200
宅地(土地),商業地,東京都,品川区,二葉,下神明,4,640000,長方形,10,区道,7.3,近隣商業地域,80,300
宅地(土地),住宅地,東京都,品川区,南大井,大森(東京),8,120000,不整形,1.8,区道,5.9,準工業地域,60,300
宅地(土地),商業地,東京都,品川区,豊町,中延,1,480000,長方形,2.2,区道,6.2,近隣商業地域,80,300
宅地(土地),住宅地,東京都,目黒区,大岡山,大岡山,8,560000,ほぼ台形,8,区道,8,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,目黒区,大橋,池尻大橋,6,100000,不整形,23,私道,3.6,第２種中高層住居専用地域,60,300
宅地(土地),住宅地,東京都,目黒区,上目黒,中目黒,5,710000,長方形,3,区道,3.6,商業地域,80,400
宅地(土地),住宅地,東京都,目黒区,五本木,祐天寺,6,880000,長方形,7.8,区道,4.5,第１種低層住居専用地域,60,150
宅地(土地),住宅地,東京都,目黒区,自由が丘,自由が丘(東京),5,1200000,ほぼ長方形,9.5,区道,5.8,第１種低層住居専用地域,60,150
宅地(土地),住宅地,東京都,目黒区,平町,都立大学,6,1000000,ほぼ長方形,10,私道,4.2,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,目黒区,中央町,学芸大学,8,980000,長方形,6,区道,5,第１種低層住居専用地域,60,150
宅地(土地),商業地,東京都,目黒区,中町,学芸大学,11,850000,長方形,3,区道,7,近隣商業地域,80,300
宅地(土地),住宅地,東京都,目黒区,中根,都立大学,8,890000,ほぼ整形,10.9,区道,5.9,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,目黒区,東山,中目黒,11,900000,ほぼ正方形,14,区道,7.1,第１種低層住居専用地域,60,150
宅地(土地),住宅地,東京都,目黒区,碑文谷,学芸大学,15,840000,台形,32,区道,10.5,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,目黒区,南,洗足,12,750000,ほぼ長方形,6.7,区道,5.1,第１種低層住居専用地域,60,150
宅地(土地),住宅地,東京都,目黒区,南,西小山,12,920000,台形,7,区道,6.2,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,目黒区,目黒,目黒,18,730000,ほぼ長方形,6,区道,4,第１種低層住居専用地域,60,150
宅地(土地),住宅地,東京都,目黒区,目黒本町,学芸大学,13,1100000,ほぼ台形,10,区道,6.4,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,目黒区,八雲,都立大学,15,600000,長方形,7,私道,4,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,目黒区,八雲,都立大学,5,970000,ほぼ長方形,4.8,区道,4,第１種住居地域,60,200
宅地(土地),住宅地,東京都,大田区,池上,池上,7,520000,長方形,9,私道,3.5,準工業地域,60,200
宅地(土地),住宅地,東京都,大田区,大森北,大森海岸,6,610000,長方形,7.5,区道,5,第１種住居地域,60,300
宅地(土地),住宅地,東京都,大田区,大森中,梅屋敷(東京),9,450000,長方形,9.7,区道,4.6,第１種住居地域,60,200
宅地(土地),住宅地,東京都,大田区,大森西,平和島,14,450000,長方形,4,区道,5.4,準工業地域,60,200
宅地(土地),住宅地,東京都,大田区,大森東,大森町,14,310000,長方形,14,区道,11,第１種住居地域,60,200
宅地(土地),住宅地,東京都,大田区,大森南,梅屋敷(東京),14,360000,ほぼ長方形,10.5,区道,6.1,準工業地域,60,200
宅地(土地),住宅地,東京都,大田区,上池台,洗足池,9,500000,台形,14,区道,6.9,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,大田区,北千束,大岡山,6,700000,ほぼ台形,11.4,私道,4,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,大田区,北馬込,長原(東京),11,670000,ほぼ長方形,5.3,区道,4.3,第１種中高層住居専用地域,60,150
宅地(土地),住宅地,東京都,大田区,北嶺町,御嶽山,8,360000,ほぼ整形,4,区道,4,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,大田区,久が原,池上,14,510000,ほぼ台形,8.1,区道,8.5,準工業地域,60,200
宅地(土地),住宅地,東京都,大田区,久が原,千鳥町,7,550000,長方形,13,区道,7.2,第１種低層住居専用地域,50,100
宅地(土地),工業地,東京都,大田区,京浜島,昭和島,21,230000,ほぼ整形,22.5,市道,18,工業専用地域,60,200
宅地(土地),住宅地,東京都,大田区,山王,大森(東京),9,590000,長方形,18,区道,4,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,大田区,多摩川,矢口渡,6,350000,長方形,9.2,私道,3.2,準工業地域,60,200
宅地(土地),住宅地,東京都,大田区,中央,西馬込,18,340000,不整形,2.6,区道,2.7,第１種住居地域,60,200
宅地(土地),住宅地,東京都,大田区,中央,平和島,16,230000,長方形,5.1,私道,2.4,第１種住居地域,60,200
宅地(土地),住宅地,東京都,大田区,田園調布,多摩川,9,650000,長方形,5.6,区道,5.4,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,大田区,田園調布,田園調布,8,740000,ほぼ長方形,16,区道,4.4,第１種低層住居専用地域,40,80
宅地(土地),住宅地,東京都,大田区,田園調布,雪が谷大塚,9,500000,不整形,2.5,区道,5.4,第１種低層住居専用地域,50,100
宅地(土地),商業地,東京都,大田区,田園調布南,沼部,5,830000,長方形,9,都道,8.5,近隣商業地域,80,300
宅地(土地),商業地,東京都,大田区,田園調布南,沼部,5,620000,不整形,9,都道,8.5,近隣商業地域,80,300
宅地(土地),住宅地,東京都,大田区,田園調布南,沼部,5,700000,長方形,3.9,私道,4,第１種住居地域,60,200
宅地(土地),住宅地,東京都,大田区,中馬込,西馬込,8,420000,不整形,19.7,区道,5.4,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,大田区,西蒲田,蒲田,9,500000,長方形,4.7,私道,2.8,第１種住居地域,60,200
宅地(土地),住宅地,東京都,大田区,西糀谷,糀谷,13,260000,ほぼ台形,15.9,私道,4,準工業地域,60,200
宅地(土地),住宅地,東京都,大田区,羽田,穴守稲荷,8,370000,ほぼ長方形,10,区道,4,第１種住居地域,60,200
宅地(土地),住宅地,東京都,大田区,羽田,穴守稲荷,8,320000,ほぼ長方形,11,区道,4,第１種住居地域,60,200
宅地(土地),住宅地,東京都,大田区,東嶺町,御嶽山,5,480000,不整形,2.5,区道,8,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,大田区,東嶺町,久が原,4,420000,不整形,2.5,私道,3.5,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,大田区,本羽田,大鳥居,15,200000,袋地等,2.7,区道,2.7,工業地域,60,200
宅地(土地),住宅地,東京都,大田区,南馬込,西馬込,6,630000,長方形,4.6,私道,4,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,大田区,南馬込,西馬込,6,430000,長方形,5.5,私道,2.6,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,大田区,矢口,武蔵新田,8,590000,台形,17,区道,6.3,準工業地域,60,200
宅地(土地),住宅地,東京都,大田区,矢口,武蔵新田,10,430000,台形,41,区道,6.3,準工業地域,60,200
宅地(土地),住宅地,東京都,世田谷区,赤堤,豪徳寺,8,840000,ほぼ長方形,6.8,区道,4,第１種低層住居専用地域,60,150
宅地(土地),住宅地,東京都,世田谷区,赤堤,松原(東京),7,650000,ほぼ長方形,6.7,区道,4.5,第１種低層住居専用地域,60,150
宅地(土地),住宅地,東京都,世田谷区,梅丘,梅ケ丘,8,660000,ほぼ長方形,5,区道,3.6,第１種低層住居専用地域,60,150
宅地(土地),住宅地,東京都,世田谷区,大蔵,成城学園前,19,330000,ほぼ台形,14.5,区道,4,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,世田谷区,大蔵,祖師ケ谷大蔵,21,360000,ほぼ長方形,10,区道,6,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,世田谷区,大原,代田橋,7,590000,ほぼ長方形,8,区道,5.1,第２種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,世田谷区,奥沢,九品仏,3,660000,不整形,2.6,区道,3,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,世田谷区,奥沢,九品仏,5,670000,ほぼ長方形,14,区道,6,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,世田谷区,奥沢,緑が丘(東京),8,640000,ほぼ長方形,7.3,区道,3.7,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,世田谷区,尾山台,尾山台,6,700000,長方形,10.5,区道,7.1,第１種低層住居専用地域,40,80
宅地(土地),住宅地,東京都,世田谷区,尾山台,尾山台,9,580000,台形,12.2,区道,4.2,第１種低層住居専用地域,40,80
宅地(土地),住宅地,東京都,世田谷区,粕谷,千歳烏山,14,470000,長方形,6.8,区道,5.9,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,世田谷区,鎌田,二子玉川,23,160000,長方形,5.5,区道,6,第１種中高層住居専用地域,60,200
宅地(土地),商業地,東京都,世田谷区,上馬,駒沢大学,6,880000,ほぼ長方形,11.6,都道,33,近隣商業地域,80,300
宅地(土地),住宅地,東京都,世田谷区,上馬,駒沢大学,11,680000,ほぼ長方形,7,区道,4,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,世田谷区,上馬,駒沢大学,6,710000,ほぼ正方形,8.5,私道,2.5,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,世田谷区,上馬,松陰神社前,9,640000,長方形,15,区道,6,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,世田谷区,上北沢,上北沢,6,480000,ほぼ台形,9,区道,5.3,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,世田谷区,上北沢,八幡山,5,510000,長方形,4,私道,4,第１種住居地域,60,200
宅地(土地),住宅地,東京都,世田谷区,上祖師谷,仙川,9,450000,ほぼ台形,4.9,区道,7,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,世田谷区,上野毛,上野毛,8,560000,長方形,3,区道,16,第１種低層住居専用地域,60,150
宅地(土地),住宅地,東京都,世田谷区,北沢,下北沢,5,240000,不整形,2.8,区道,4.5,第１種低層住居専用地域,50,150
宅地(土地),住宅地,東京都,世田谷区,砧,祖師ケ谷大蔵,16,420000,不整形,13,区道,3.9,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,世田谷区,砧,祖師ケ谷大蔵,6,640000,ほぼ長方形,6,区道,5.2,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,世田谷区,砧,祖師ケ谷大蔵,15,330000,長方形,6.5,区道,5.1,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,世田谷区,砧,祖師ケ谷大蔵,11,510000,長方形,6.5,区道,5.8,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,世田谷区,砧,祖師ケ谷大蔵,4,460000,長方形,11,区道,3.5,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,世田谷区,給田,千歳烏山,15,510000,ほぼ長方形,10,区道,6,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,世田谷区,給田,千歳烏山,9,370000,長方形,7,区道,4,第１種低層住居専用地域,50,100
宅地(土地),商業地,東京都,世田谷区,経堂,経堂,5,490000,袋地等,4,区道,4.6,近隣商業地域,80,300
宅地(土地),住宅地,東京都,世田谷区,新町,桜新町,6,1100000,ほぼ正方形,9.7,区道,6,第１種低層住居専用地域,60,150
宅地(土地),住宅地,東京都,世田谷区,成城,成城学園前,15,74000,ほぼ長方形,2.7,私道,4,第１種低層住居専用地域,40,80
宅地(土地),住宅地,東京都,世田谷区,成城,成城学園前,9,210000,ほぼ整形,17.1,区道,2.7,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,世田谷区,成城,成城学園前,15,460000,ほぼ台形,25.4,区道,6,第１種低層住居専用地域,40,80
宅地(土地),住宅地,東京都,世田谷区,瀬田,二子玉川,9,670000,ほぼ整形,29,区道,6,第１種低層住居専用地域,40,100
宅地(土地),住宅地,東京都,世田谷区,瀬田,用賀,15,490000,不整形,2.5,区道,6,第１種低層住居専用地域,40,100
宅地(土地),商業地,東京都,世田谷区,世田谷,上町,6,730000,ほぼ整形,6.9,都道,18,近隣商業地域,80,300
宅地(土地),住宅地,東京都,世田谷区,祖師谷,祖師ケ谷大蔵,7,460000,長方形,7.6,私道,3.3,第１種低層住居専用地域,60,150
宅地(土地),住宅地,東京都,世田谷区,代沢,下北沢,6,770000,ほぼ長方形,6,区道,3.6,第１種低層住居専用地域,50,150
宅地(土地),住宅地,東京都,世田谷区,太子堂,西太子堂,2,990000,ほぼ長方形,7.7,区道,5.5,第１種住居地域,60,200
宅地(土地),住宅地,東京都,世田谷区,代田,梅ケ丘,6,730000,ほぼ長方形,6,区道,4,第１種低層住居専用地域,60,150
宅地(土地),住宅地,東京都,世田谷区,玉川,二子玉川,5,650000,ほぼ長方形,7.1,区道,3.9,第１種住居地域,60,200
宅地(土地),住宅地,東京都,世田谷区,玉川,二子玉川,11,630000,長方形,8,区道,4,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,世田谷区,玉川台,用賀,4,780000,長方形,6.7,区道,6,第２種低層住居専用地域,60,150
宅地(土地),商業地,東京都,世田谷区,玉川田園調布,田園調布,5,700000,ほぼ整形,25,都道,25,第２種住居地域,60,200
宅地(土地),住宅地,東京都,世田谷区,弦巻,桜新町,4,990000,ほぼ整形,13.5,区道,8.5,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,世田谷区,等々力,等々力,4,660000,ほぼ長方形,5.7,私道,4,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,世田谷区,等々力,等々力,12,520000,ほぼ長方形,8.5,区道,6.2,第１種低層住居専用地域,40,80
宅地(土地),商業地,東京都,世田谷区,中町,上野毛,11,840000,ほぼ整形,6,区道,4.7,近隣商業地域,80,200
宅地(土地),住宅地,東京都,世田谷区,中町,上野毛,6,800000,長方形,6,区道,6,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,世田谷区,中町,用賀,15,470000,長方形,7.5,区道,5.8,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,世田谷区,東玉川,田園調布,10,650000,長方形,5,区道,7.3,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,世田谷区,深沢,桜新町,14,810000,台形,7.9,私道,4,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,世田谷区,三宿,三軒茶屋,7,960000,ほぼ長方形,13,区道,4.5,第１種住居地域,60,200
宅地(土地),住宅地,東京都,世田谷区,南烏山,芦花公園,8,430000,ほぼ長方形,13,区道,3.8,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,世田谷区,若林,若林(東京),3,590000,ほぼ長方形,8.9,区道,4.3,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,渋谷区,松濤,神泉,10,2000000,ほぼ正方形,26,区道,6,第１種低層住居専用地域,60,150
宅地(土地),住宅地,東京都,渋谷区,千駄ケ谷,北参道,8,1000000,ほぼ長方形,14.5,私道,4,第１種住居地域,60,300
宅地(土地),住宅地,東京都,渋谷区,千駄ケ谷,北参道,3,1900000,ほぼ長方形,13,区道,9,第２種中高層住居専用地域,60,300
宅地(土地),住宅地,東京都,渋谷区,富ケ谷,代々木公園,6,1100000,ほぼ長方形,9,区道,6.2,第１種低層住居専用地域,60,150
宅地(土地),住宅地,東京都,渋谷区,西原,幡ケ谷,2,910000,不整形,20,区道,7.5,第１種住居地域,60,300
宅地(土地),住宅地,東京都,渋谷区,幡ケ谷,幡ケ谷,2,950000,ほぼ長方形,4.9,区道,4,第１種住居地域,60,300
宅地(土地),住宅地,東京都,渋谷区,東,渋谷,11,1400000,ほぼ正方形,11.5,私道,4,第１種住居地域,60,300
宅地(土地),住宅地,東京都,渋谷区,代々木,参宮橋,3,990000,ほぼ台形,16.5,区道,3.3,第２種低層住居専用地域,60,200
宅地(土地),商業地,東京都,渋谷区,代々木,南新宿,2,2300000,台形,12,区道,4,近隣商業地域,80,300
宅地(土地),住宅地,東京都,渋谷区,代々木,代々木八幡,6,1400000,ほぼ長方形,10,区道,4,第２種低層住居専用地域,60,200
宅地(土地),住宅地,東京都,中野区,新井,中野(東京),10,600000,長方形,6.7,私道,2.7,第１種住居地域,60,200
宅地(土地),住宅地,東京都,中野区,新井,沼袋,10,310000,ほぼ整形,22.4,区道,4,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,中野区,新井,沼袋,6,230000,不整形,4,区道,6,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,中野区,江古田,新江古田,11,550000,ほぼ長方形,9.7,区道,6,第１種低層住居専用地域,60,150
宅地(土地),商業地,東京都,中野区,江古田,沼袋,10,500000,ほぼ長方形,12.5,区道,11,近隣商業地域,80,300
宅地(土地),住宅地,東京都,中野区,江原町,新江古田,2,680000,長方形,4.4,区道,4,第１種低層住居専用地域,60,150
宅地(土地),住宅地,東京都,中野区,上鷺宮,中村橋,13,380000,ほぼ長方形,9.5,区道,4,第１種低層住居専用地域,40,80
宅地(土地),住宅地,東京都,中野区,鷺宮,鷺ノ宮,3,450000,ほぼ長方形,11.7,私道,4,第１種低層住居専用地域,60,150
宅地(土地),商業地,東京都,中野区,鷺宮,都立家政,4,590000,ほぼ長方形,7.7,都道,15,近隣商業地域,80,300
宅地(土地),住宅地,東京都,中野区,白鷺,鷺ノ宮,9,410000,長方形,12,私道,3.7,第１種低層住居専用地域,50,150
宅地(土地),住宅地,東京都,中野区,野方,沼袋,13,690000,ほぼ整形,28.3,区道,3.5,第１種中高層住居専用地域,50,150
宅地(土地),住宅地,東京都,中野区,野方,沼袋,14,300000,ほぼ長方形,16.4,区道,3.6,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,中野区,本町,新中野,4,600000,ほぼ長方形,11.2,私道,4,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,中野区,本町,中野坂上,4,890000,ほぼ長方形,5.5,区道,4.3,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,中野区,大和町,高円寺,9,950000,長方形,11.5,区道,3.1,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,中野区,大和町,野方,9,510000,長方形,11.8,区道,5.4,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,中野区,弥生町,中野新橋,5,510000,ほぼ長方形,6,区道,4.2,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,中野区,若宮,鷺ノ宮,8,550000,台形,13.3,私道,3.7,第１種低層住居専用地域,60,150
