Date,初任給(千円):大学院修士課程修了:企業規模計:男,初任給:対前年増減率(%):大学院修士課程修了:企業規模計:男,初任給(千円):大学卒:企業規模計:男,初任給:対前年増減率(%):大学卒:企業規模計:男,初任給(千円):高専･短大卒:企業規模計:男,初任給:対前年増減率(%):高専･短大卒:企業規模計:男,初任給(千円):高校卒:企業規模計:男,初任給:対前年増減率(%):高校卒:企業規模計:男,初任給(千円):大学院修士課程修了:企業規模計:女,初任給:対前年増減率(%):大学院修士課程修了:企業規模計:女,初任給(千円):大学卒:企業規模計:女,初任給:対前年増減率(%):大学卒:企業規模計:女,初任給(千円):高専･短大卒:企業規模計:女,初任給:対前年増減率(%):高専･短大卒:企業規模計:女,初任給(千円):高校卒:企業規模計:女,初任給:対前年増減率(%):高校卒:企業規模計:女
1995/4/1,,,194.2,0.9,165.1,-0.9,154,0.1,,,184,-0.3,158.7,0.6,144.7,-0.5
1996/4/1,,,193.2,-0.5,166.8,1,154.5,0.3,,,183.6,-0.2,158.7,0,146.1,1
1997/4/1,,,193.9,0.4,168.9,1.3,156,1,,,186.2,1.4,161,1.4,147.3,0.8
1998/4/1,,,195.5,0.8,168.8,-0.1,156.5,0.3,,,186.3,0.1,161.8,0.5,147.9,0.4
1999/4/1,,,196.6,0.6,170.3,0.9,157.6,0.7,,,188.7,1.3,162.2,0.2,148.3,0.3
2000/4/1,,,196.9,0.2,171.6,0.8,157.1,-0.3,,,187.4,-0.7,163.6,0.9,147.6,-0.5
2001/4/1,,,198.3,0.7,170.3,-0.8,158.1,0.6,,,188.6,0.6,163.8,0.1,148.7,0.7
2002/4/1,,,198.5,0.1,169.5,-0.5,157.5,-0.4,,,188.8,0.1,164.3,0.3,148.8,0.1
2003/4/1,,,201.3,1.4,169.8,0.2,157.5,0,,,192.5,2,163.5,-0.5,147,-1.2
2004/4/1,,,198.3,-1.5,170.7,0.5,156.1,-0.9,,,189.5,-1.6,164.2,0.4,147.2,0.1
2005/4/1,221,,196.7,-0.8,170.3,-0.2,155.7,-0.3,216.6,,189.3,-0.1,164.2,0,148,0.5
2006/4/1,224.6,1.6,199.8,1.6,171.2,0.5,157.6,1.2,226,4.3,190.8,0.8,166.8,1.6,149.4,0.9
2007/4/1,224.6,0,198.8,-0.5,171.2,0,158.8,0.8,226.7,0.3,191.4,0.3,166.9,0.1,150.8,0.9
2008/4/1,226.2,0.7,201.3,1.3,171.6,0.2,160,0.8,223.6,-1.4,194.6,1.7,168.6,1,154.3,2.3
2009/4/1,228.6,1.1,201.4,0,175.8,2.4,160.8,0.5,227.1,1.6,194.9,0.2,171.7,1.8,153,-0.8
2010/4/1,224.5,-1.8,200.3,-0.5,173.6,-1.3,160.7,-0.1,221.2,-2.6,193.5,-0.7,168.2,-2,153.2,0.1
2011/4/1,233.9,4.2,205,2.3,175.5,1.1,159.4,-0.8,237.3,7.3,197.9,2.3,170.5,1.4,151.8,-0.9
2012/4/1,225.6,-3.5,201.8,-1.6,173,-1.4,160.1,0.4,228.4,-3.8,196.5,-0.7,168.4,-1.2,153.6,1.2
2013/4/1,227.7,0.9,200.2,-0.8,174.2,0.7,158.9,-0.7,230,0.7,195.1,-0.7,171.2,1.7,151.3,-1.5
2014/4/1,227.7,0,202.9,1.3,176.1,1.1,161.3,1.5,230.7,0.3,197.2,1.1,172.8,0.9,154.2,1.9
2015/4/1,228.5,0.4,204.5,0.8,177.3,0.7,163.4,1.3,228.5,-1,198.8,0.8,174.6,1,156.2,1.3
2016/4/1,231.7,1.4,205.9,0.7,179.7,1.4,163.5,0.1,229.7,0.5,200,0.6,175.2,0.3,157.2,0.6
