死因簡単分類コード,死因,死亡総数に占める割合(%):2016年
10400, 　慢性閉塞性肺疾患,1.2
10500, 　喘　　　息 ,0.1
10600, 　その他の呼吸器系の疾患,5.4
11000, 消化器系の疾患,3.7
11100, 　胃潰瘍及び十二指腸潰瘍,0.2
11200, 　ヘルニア及び腸閉塞,0.5
11300, 　肝　疾　患,1.2
11301, 　　肝　硬　変（アルコール性を除く）,0.6
11302, 　　その他の肝疾患,0.6
11400, 　その他の消化器系の疾患,1.8
12000, 皮膚及び皮下組織の疾患,0.1
13000, 筋骨格系及び結合組織の疾患,0.5
14000, 腎尿路生殖器系の疾患,2.9
14100, 　糸球体疾患及び腎尿細管間質性疾患,0.4
14200, 　腎　不　全,1.9
14201, 　　急性腎不全,0.3
14202, 　　慢性腎不全,1.2
14203, 　　詳細不明の腎不全,0.4
14300, 　その他の腎尿路生殖器系の疾患,0.7
15000, 妊娠，分娩及び産じょく　　,0
16000, 周産期に発生した病態,0
16100, 　妊娠期間及び胎児発育に関連する障害,0
16200, 　出産外傷,0
16300, 　周産期に特異的な呼吸障害及び心血管障害　,0
16400, 　周産期に特異的な感染症,0
16500, 　胎児及び新生児の出血性障害及び血液障害　,0
16600, 　その他の周産期に発生した病態,0
17000, 先天奇形，変形及び染色体異常,0.2
17100, 　神経系の先天奇形,0
17200, 　循環器系の先天奇形,0.1
17201, 　　心臓の先天奇形,0
17202, 　　その他の循環器系の先天奇形,0
17300, 　消化器系の先天奇形,0
17400, 　その他の先天奇形及び変形,0
17500, 　染色体異常，他に分類されないもの,0
18000, 症状，徴候及び異常臨床所見・異常検査所見で他に分類されないもの,8.7
18100, 　老　　　衰,7.1
18200, 　乳幼児突然死症候群,0
18300, 　その他の症状，徴候及び異常臨床所見・異常検査所見で他に分類されないもの,1.6
20000, 傷病及び死亡の外因,5
20100, 　不慮の事故,2.9
20101, 　　交通事故,0.4
20102, 　　転倒・転落,0.6
20103, 　　不慮の溺死及び溺水,0.6
20104, 　　不慮の窒息,0.7
20105, 　　煙，火及び火炎への曝露,0.1
20106, 　　有害物質による不慮の中毒及び有害物質への曝露　,0
20107, 　　その他の不慮の事故,0.5
20200, 　自　　　殺,1.6
20300, 　他　　　殺,0
20400, 　その他の外因,0.5
22000, 特殊目的用コード,-
22100, 　重症急性呼吸器症候群［SARS］,-
