死因簡単分類コード,死因,平成27年死亡数:総数(人),平成27年死亡数:男(人),平成27年死亡数:女(人),平成27年死亡率:総数,平成27年死亡率:男,平成27年死亡率:女
11301, 　　肝硬変（アルコール性を除く）,7649,4114,3535,6.1,6.7,5.5
11302, 　　その他の肝疾患,8010,5902,2108,6.4,9.7,3.3
11400,   その他の消化器系の疾患,23031,10519,12512,18.4,17.2,19.5
12000, 皮膚及び皮下組織の疾患,1648,612,1036,1.3,1,1.6
13000, 筋骨格系及び結合組織の疾患,6100,2308,3792,4.9,3.8,5.9
14000, 腎尿路生殖器系の疾患,37065,16439,20626,29.6,26.9,32.1
14100,   糸球体疾患及び腎尿細管間質性疾患,4489,1668,2821,3.6,2.7,4.4
14200,   腎不全,24560,11908,12652,19.6,19.5,19.7
14201, 　　急性腎不全,3571,1631,1940,2.8,2.7,3
14202, 　　慢性腎不全,15739,7849,7890,12.6,12.9,12.3
14203, 　　詳細不明の腎不全,5250,2428,2822,4.2,4,4.4
14300,   その他の腎尿路生殖器系の疾患,8016,2863,5153,6.4,4.7,8
15000, 妊娠，分娩及び産じょく,44, ・,44,1)0.1, ・,0.1
16000, 周産期に発生した病態,497,279,218,0.4,0.5,0.3
16100,   妊娠期間及び胎児発育に関連する障害,39,22,17,0,0,0
16200,   出産外傷,6,5,1,0,0,0
16300,   周産期に特異的な呼吸障害及び心血管障害,251,137,114,0.2,0.2,0.2
16400,   周産期に特異的な感染症,35,18,17,0,0,0
16500,   胎児及び新生児の出血性障害及び血液障害,84,49,35,0.1,0.1,0.1
16600,   その他の周産期に発生した病態,82,48,34,0.1,0.1,0.1
17000, 先天奇形，変形及び染色体異常,2022,926,1096,1.6,1.5,1.7
17100,   神経系の先天奇形,89,43,46,0.1,0.1,0.1
17200,   循環器系の先天奇形,952,409,543,0.8,0.7,0.8
17201, 　　心臓の先天奇形,670,295,375,0.5,0.5,0.6
17202, 　　その他の循環器系の先天奇形,282,114,168,0.2,0.2,0.3
17300,   消化器系の先天奇形,113,58,55,0.1,0.1,0.1
17400,   その他の先天奇形及び変形,568,295,273,0.5,0.5,0.4
17500,   染色体異常，他に分類されないもの,300,121,179,0.2,0.2,0.3
18000, 症状，徴候及び異常臨床所見・異常検査所見で他に分類されないもの,103046,31873,71173,82.2,52.2,110.7
18100, 　老衰,84810,20894,63916,67.7,34.2,99.4
18200, 　乳幼児突然死症候群,96,61,35,0.1,0.1,0.1
18300, 　その他の症状，徴候及び異常臨床所見・異常検査所見で他に分類されないもの,18140,10918,7222,14.5,17.9,11.2
20000, 傷病及び死亡の外因,67905,41961,25944,54.2,68.8,40.4
20100,   不慮の事故,38306,22121,16185,30.6,36.3,25.2
20101, 　　交通事故,5646,3886,1760,4.5,6.4,2.7
20102, 　　転倒・転落,7992,4461,3531,6.4,7.3,5.5
20103, 　　不慮の溺死及び溺水,7484,3911,3573,6,6.4,5.6
20104, 　　不慮の窒息,9356,4764,4592,7.5,7.8,7.1
20105, 　　煙，火及び火炎への曝露,940,567,373,0.8,0.9,0.6
20106, 　　有害物質による不慮の中毒及び有害物質への曝露,612,382,230,0.5,0.6,0.4
20107, 　　その他の不慮の事故,6276,4150,2126,5,6.8,3.3
20200,   自殺,23152,16202,6950,18.5,26.6,10.8
20300,   他殺,314,138,176,0.3,0.2,0.3
20400,   その他の外因,6133,3500,2633,4.9,5.7,4.1
22000, 特殊目的用コード,-,-,-,-,-,-
22100, 　重症急性呼吸器症候群［SARS］,-,-,-,-,-,-
