道県,都市名(人口万人),住宅地:平成28年変動率(%),住宅地:平成29年変動率(%),住宅地:平成29年地点数,商業地:平成28年変動率(%),商業地:平成29年変動率(%),商業地:平成29年地点数
福島県　,郡山市(33),3.2,2.8,48,2.7,2.2,15
福島県　,いわき市(33),6.7,4.3,76,2.8,1.9,16
新潟県　,新潟市(80),-0.7,-0.4,106,-1,-0.6,32
新潟県　,北区(8),-0.8,-0.5,9,-1.5,-1.2,2
新潟県　,東区(14),-0.2,0.4,12,-1,-0.4,5
新潟県　,中央区(18),-0.3,0,22,-0.2,0.3,17
新潟県　,江南区(7),-0.4,-0.1,13,   -- ,   -- ,   --
新潟県　,秋葉区(8),-1.7,-1.1,16,-2.7,-2,4
新潟県　,南区(5),-1.7,-1.6,3,   -- ,   -- ,   --
新潟県　,西区(16),-0.3,-0.3,25,-0.5,-0.4,1
新潟県　,西蒲区(6),-1.7,-1.7,6,-4,-4.1,3
新潟県　,長岡市(28),-1.2,-1.2,48,-2.4,-2.1,14
新潟県　,三条市(10),-2.2,-2,7,-3.3,-3.1,2
新潟県　,新発田市(10),-1.5,-1.2,14,-2.7,-2,4
新潟県　,上越市(20),-2,-2,35,-3,-3.3,8
茨城県　,水戸市(27),-1.6,-0.8,48,-2,-1.1,16
茨城県　,日立市(19),-1.1,-0.9,39,-1.1,-0.7,8
茨城県　,土浦市(14),-0.1,-0.3,31,-0.2,-0.1,8
茨城県　,古河市(14),-0.3,-0.2,26,-0.4,-0.3,8
茨城県　,つくば市(22),-0.7,-0.6,28,0.1,-0.2,6
茨城県　,ひたちなか市(16),-1.6,-1,31,-2.3,-1.6,6
茨城県　,筑西市(11),-1.2,-0.8,19,-1.7,-1.3,4
栃木県　,宇都宮市(52),-0.2,0,74,0,0.5,32
栃木県　,足利市(15),-1.9,-1.6,32,-2.3,-1.8,5
栃木県　,栃木市(16),-1.6,-1.4,43,-2.6,-1.8,7
栃木県　,佐野市(12),-1.8,-1.4,31,-1.7,-1.3,5
栃木県　,小山市(17),-0.3,0,26,-0.5,-0.3,6
栃木県　,那須塩原市(12),-1.9,-1.5,8,-2.1,-1.6,4
群馬県　,前橋市(34),-0.5,-0.3,44,-0.8,-0.5,26
群馬県　,高崎市(38),-0.3,-0.2,41,-0.7,0.2,21
群馬県　,桐生市(12),-1.7,-1.3,23,-1.5,-1,10
群馬県　,伊勢崎市(21),-0.6,-0.3,24,-1.1,-0.8,8
群馬県　,太田市(22),-0.1,0.2,35,0.6,0.9,11
埼玉県　,深谷市(15),-0.5,-0.2,19,-0.2,-0.1,5
山梨県　,甲府市(19),-1.5,-1.4,30,-1.2,-0.8,19
長野県　,長野市(38),-0.7,-0.4,47,-0.6,-0.2,23
長野県　,松本市(24),0,0.3,32,-0.9,-0.5,15
長野県　,上田市(16),-1.3,-0.9,10,-1.7,-1.3,6
長野県　,飯田市(10),-0.9,-0.7,5,-2.4,-2.1,4
富山県　,富山市(42),0.3,0.1,67,0.7,0.4,32
富山県　,高岡市(17),-0.5,-0.5,32,-0.2,-0.6,12
石川県　,金沢市(45),0.6,0.8,63,5.4,4.5,28
石川県　,小松市(11),-1,-0.6,18,-1.5,-1.2,4
石川県　,白山市(11),-0.2,-0.3,10,-2.8,-1.2,3
福井県　,福井市(27),-1,-0.8,39,-0.3,0,13
岐阜県　,岐阜市(41),-0.6,-0.6,71,-0.6,-0.4,27
岐阜県　,大垣市(16),-0.7,-0.6,27,-0.4,-0.3,11
岐阜県　,多治見市(11),-0.4,-0.1,15,0.2,-0.2,5
岐阜県　,各務原市(15),-0.5,-0.5,19,-0.1,-0.3,5
岐阜県　,可児市(10),-0.7,-0.7,6,-0.3,-0.3,3
静岡県　,静岡市(71),-0.6,-0.5,84,0.2,1.3,34
静岡県　,葵区(26),0.1,0.1,26,1,2.1,19
静岡県　,駿河区(21),-0.4,-0.2,27,0.9,2.3,6
静岡県　,清水区(24),-1.3,-1.1,31,-2,-1.2,9
静岡県　,浜松市(81),-0.1,-0.2,88,0.2,0.1,38
静岡県　,中区(24),0.7,0.5,29,0.5,0.4,27
静岡県　,東区(13),0,0.3,14,0,0,2
静岡県　,西区(11),-1.5,-1.7,13,-0.6,-0.7,3
静岡県　,南区(10),-0.7,-0.8,8,-0.6,-1.2,3
静岡県　,北区(9),-0.4,0.1,13,   -- ,   -- ,   --
静岡県　,浜北区(10),0,-0.1,8,0.2,0,2
静岡県　,天竜区(3),-1,-1.1,3,-1,-1,1
静岡県　,沼津市(20),-1.6,-1.6,29,-2.3,-1.8,11
静岡県　,三島市(11),0.3,0.1,14,0.3,0.3,6
静岡県　,富士宮市(13),-1.4,-1.3,28,-1.4,-1.1,4
静岡県　,島田市(10),-1.5,-1.5,6,-2,-1.7,4
静岡県　,富士市(26),-1.2,-1.3,37,-1.1,-1,13
静岡県　,磐田市(17),-1.7,-1.3,21,-0.5,-0.6,4
静岡県　,焼津市(14),-3,-2.8,17,-4.7,-4.8,3
静岡県　,掛川市(12),-1.4,-1.5,7,-0.4,-1.5,4
静岡県　,藤枝市(15),-0.2,-0.5,20,0.5,1.1,4
愛知県　,豊橋市(38),-0.2,-0.4,44,-0.1,-0.4,21
愛知県　,豊川市(19),-0.7,-1.5,33,-0.2,-1.5,11
三重県　,津市(28),-1.3,-1.3,42,-1.4,-1.2,21
三重県　,伊勢市(13),-3.4,-3.3,11,-1,-1.7,6
三重県　,松阪市(17),-3.2,-3.2,22,-2.2,-2.4,7
三重県　,鈴鹿市(20),-1.2,-1.1,30,-1.8,-1.5,8
滋賀県　,大津市(34),-0.2,-0.7,58,1.5,1.5,21
滋賀県　,彦根市(11),-1.3,-1.3,19,-1,-0.7,8
滋賀県　,長浜市(12),-1.1,-1.2,19,-0.8,-0.7,9
滋賀県　,草津市(13),1.3,1,13,2.1,1.7,9
滋賀県　,東近江市(12),-0.6,-0.6,22,-0.6,-0.4,6
兵庫県　,姫路市(54),-1.2,-1.3,84,-0.4,0,28
兵庫県　,明石市(30),0,0,35,0.8,1,13
兵庫県　,加古川市(27),-0.4,-0.2,23,0.2,1,9
和歌山県,和歌山市(38),-1.2,-1,45,0.6,0.3,26
鳥取県　,鳥取市(19),-1.7,-1.4,36,-2.3,-2,14
鳥取県　,米子市(15),-1.9,-1,18,-2.1,-2.1,8
島根県　,松江市(20),-1.2,-0.7,39,-1.5,-1,12
島根県　,出雲市(18),-1.3,-0.7,10,-2.1,-1.5,8
岡山県　,岡山市(71),0,0.1,94,1.3,1.6,48
岡山県　,北区(29),0.7,0.6,33,1.8,2.1,32
岡山県　,中区(15),1,1.1,18,1.5,1.7,5
岡山県　,東区(10),-1.3,-0.8,19,-0.4,-0.1,4
岡山県　,南区(17),-0.7,-0.5,24,-0.1,0,7
岡山県　,倉敷市(48),-0.7,-0.6,83,-0.3,-0.3,23
岡山県　,津山市(10),-1.9,-1.6,9,-3.4,-2.5,4
広島県　,広島市(119),1.4,1.9,189,4.1,4.7,64
広島県　,中区(13),3.7,5,14,5.9,6.6,30
広島県　,東区(12),1.4,1.6,24,4,2.7,5
広島県　,南区(14),3.2,4.5,19,4,5.3,8
広島県　,西区(19),1.6,1.8,28,2.2,3.1,8
広島県　,安佐南区(24),1.5,1.6,34,2.8,3.6,4
広島県　,安佐北区(15),-1,-0.8,27,0.1,0.4,3
広島県　,安芸区(8),0,0.8,17,1,1.4,3
広島県　,佐伯区(14),1.6,2.5,26,0,1.3,3
広島県　,呉市(23),-1.5,-0.8,33,-0.7,-0.4,16
広島県　,尾道市(14),-2.6,-2.4,26,-3.6,-2.6,7
広島県　,福山市(47),-1.7,-1.1,76,-1.9,-0.8,23
広島県　,東広島市(19),-0.5,0.2,26,-0.2,-0.6,7
広島県　,廿日市市(12),0,1.2,22,2,1.7,5
山口県　,下関市(27),-1,-0.4,52,-1.9,-1.4,21
山口県　,宇部市(17),-1.7,-1.2,6,-2.8,-2,6
山口県　,山口市(19),-0.7,-0.4,11,-0.8,-0.3,9
山口県　,防府市(12),-1.5,-0.8,18,-2.1,-1,8
山口県　,岩国市(14),-0.9,-0.5,22,-0.8,-0.5,11
山口県　,周南市(15),-1.2,-0.8,27,-2.1,-1.2,13
徳島県　,徳島市(26),-0.4,-0.1,39,-0.8,-0.3,17
香川県　,高松市(43),-0.8,-0.2,54,-0.6,-0.2,25
香川県　,丸亀市(11),-1.7,-1.1,13,-1.7,-0.9,5
愛媛県　,松山市(52),-1,-0.9,42,-0.7,-0.5,32
愛媛県　,今治市(16),-1.8,-1.4,22,-2.1,-2.1,6
愛媛県　,新居浜市(12),-1.8,-1.6,19,-2.2,-2.1,5
愛媛県　,西条市(11),-1.7,-1.7,17,-2.7,-2.8,7
高知県　,高知市(34),-1.5,-1.1,45,-1.4,-1.2,17
福岡県　,北九州市(97),-0.9,-0.5,140,-1,0.4,71
福岡県　,門司区(10),-1.2,-1,19,-0.7,-0.1,11
福岡県　,若松区(9),-1.8,-1.4,17,-1.3,-1.6,7
福岡県　,戸畑区(6),-0.2,0.3,7,0.1,0.5,6
福岡県　,小倉北区(18),-0.9,-0.5,20,-1,2.9,19
福岡県　,小倉南区(21),-0.2,-0.1,26,-0.6,-0.1,6
福岡県　,八幡東区(7),-2,-1.6,14,-1.1,-0.4,5
福岡県　,八幡西区(26),-0.6,0.1,37,-1.9,-1,17
福岡県　,福岡市(150),2.8,3.5,189,5.9,8.5,79
福岡県　,東区(30),1,2,41,2.5,6.2,7
福岡県　,博多区(22),3.2,3.9,13,9.2,12.6,20
福岡県　,中央区(18),5.6,6.2,19,7,9.5,26
福岡県　,南区(26),2.8,4.8,32,3.6,6.5,11
福岡県　,西区(20),1.7,2.1,23,1.3,2.2,4
福岡県　,城南区(12),2.4,2.9,17,1.2,3.9,2
福岡県　,早良区(22),3.6,3.5,44,3.3,4.1,9
福岡県　,大牟田市(12),-2.2,-1.8,22,-2.9,-2.5,8
福岡県　,久留米市(31),0.3,0.3,37,0.5,0.9,15
福岡県　,飯塚市(13),-1.9,-1.2,9,-3.2,-2.4,6
福岡県　,筑紫野市(10),1.1,1.2,12,1,0.8,3
福岡県　,春日市(11),1.9,4.1,14,2.4,7.8,2
福岡県　,糸島市(10),0.3,0.7,10,-2.3,-0.3,2
佐賀県　,佐賀市(24),-1.7,-0.8,25,-1.4,0.1,14
佐賀県　,唐津市(13),-2.3,-1.6,10,-3,-2.4,7
長崎県　,長崎市(44),-0.8,0,64,1.6,2.9,19
長崎県　,佐世保市(26),-0.6,-0.5,43,-0.2,-0.1,19
長崎県　,諫早市(14),-0.4,-0.4,15,-0.3,-0.7,6
熊本県　,熊本市(74),0.6,0.3,94,1.1,1.1,39
熊本県　,中央区(18),1.7,1.5,23,1.8,1.7,21
熊本県　,東区(19),0.9,0,23,0.3,-0.5,5
熊本県　,西区(9),-0.4,-0.2,14,0.8,1.2,7
熊本県　,南区(13),0.3,-0.2,15,-1.2,-1.6,2
熊本県　,北区(15),0.2,0.1,19,0.4,0.6,4
熊本県　,八代市(13),-1.7,-1.4,6,-2.1,-2,4
大分県　,大分市(48),-0.3,0.1,78,-0.1,0.3,33
大分県　,別府市(12),-1.1,-0.6,24,-1.3,-0.6,15
宮崎県　,宮崎市(41),-0.6,-0.1,62,-1.1,-0.5,26
宮崎県　,都城市(17),-1.6,-1.4,15,-2.9,-2.3,8
宮崎県　,延岡市(13),-0.7,-0.4,20,-2.1,-1.6,9
鹿児島県,鹿児島市(61),-1.2,-0.8,67,-0.6,-0.3,29
鹿児島県,鹿屋市(10),-2.5,-2.3,8,-2.7,-2.5,5
鹿児島県,霧島市(13),-3,-2.2,13,-3.3,-2.6,8
沖縄県　,那覇市(32),2.8,3.5,28,3.8,5,17
沖縄県　,浦添市(11),1.9,4,11,3.3,7.5,4
沖縄県　,沖縄市(14),2.3,4.2,7,1.5,2.6,5
沖縄県　,うるま市(12),0.7,2.6,6,0.3,0.2,4
